city,state,county,count
Abilene,TX,TAYLOR,1
Ada,MN,NORMAN,1
Ada,OK,PONTOTOC,5
Adel,IA,DALLAS,1
Aiken,SC,AIKEN,3
Aitkin,MN,AITKIN,1
Akron,IA,PLYMOUTH,1
Akron,OH,SUMMIT,1
Alameda,CA,ALAMEDA,1
Alamo,CA,CONTRA COSTA,1
Albany,NY,ALBANY,1
Albertville,MN,WRIGHT,1
Albion,IN,NOBLE,1
Alcoa,TN,BLOUNT,1
Alexander,NC,BUNCOMBE,1
Alexandria,MN,DOUGLAS,1
Alexandria,VA,ALEXANDRIA CITY,1
Algona,IA,KOSSUTH,1
Allen,TX,COLLIN,3
Allenton,MI,SAINT CLAIR,1
Alsip,IL,COOK,1
Altonah,UT,DUCHESNE,2
Ames,IA,STORY,1
Andover,MN,ANOKA,2
Ankeny,IA,POLK,1
Ann Arbor,MI,WASHTENAW,6
Anna,TX,COLLIN,1
Annapolis,MD,ANNE ARUNDEL,4
Antioch,IL,LAKE,5
Apex,NC,WAKE,1
Appleton,WI,OUTAGAMIE,3
Aquasco,MD,PRINCE GEORGES,2
Arden,NC,BUNCOMBE,1
Arlington,TX,TARRANT,1
Arlington,WI,COLUMBIA,1
Arnold,MD,ANNE ARUNDEL,1
Arvada,CO,JEFFERSON,1
Asbury Park,NJ,MONMOUTH,1
Asheboro,NC,RANDOLPH,1
Asheville,NC,BUNCOMBE,3
Ashland,NE,SAUNDERS,1
Ashland,NY,GREENE,1
Ashland,WI,ASHLAND,4
Aspermont,TX,STONEWALL,1
Atkinson,NE,HOLT,1
Atlanta,GA,FULTON,2
Atlanta,TX,CASS,2
Auburn,IN,DE KALB,1
Auburn Hills,MI,OAKLAND,2
Augusta,MI,KALAMAZOO,1
Aurora,CO,ARAPAHOE,2
Aurora,IL,DUPAGE,3
Aurora,ME,HANCOCK,1
Aurora,MN,SAINT LOUIS,1
Austin,TX,TRAVIS,43
Austwell,TX,REFUGIO,2
Autryville,NC,SAMPSON,1
Avon,IN,HENDRICKS,1
Avon,OH,LORAIN,1
Avondale,AZ,MARICOPA,1
Avondale,PA,CHESTER,1
Avondale Estates,GA,DEKALB,1
Bakersville,NC,MITCHELL,1
Baldwin City,KS,DOUGLAS,1
Ballston Lake,NY,SARATOGA,1
Ballwin,MO,SAINT LOUIS,3
Baltimore,MD,BALTIMORE CITY,1
Barco,NC,CURRITUCK,1
Barnard,VT,WINDSOR,1
Barnesville,MN,CLAY,1
Barnsdall,OK,OSAGE,1
Barnstead,NH,BELKNAP,0
Baroda,MI,BERRIEN,1
Barrington,NH,STRAFFORD,1
Barrington,RI,BRISTOL,2
Bastrop,TX,BASTROP,1
Batavia,IL,KANE,1
Batavia,NY,GENESEE,3
Baton Rouge,LA,EAST BATON ROUGE,5
Bay Village,OH,CUYAHOGA,1
Bayfield,WI,BAYFIELD,1
Bedford,IN,LAWRENCE,1
Bedford,TX,TARRANT,2
Beeville,TX,BEE,8
Bel Air,MD,HARFORD,1
Belding,MI,IONIA,1
Belfast,ME,WALDO,2
Belgrade,ME,KENNEBEC,1
Belknap,IL,JOHNSON,1
Bellaire,TX,HARRIS,1
Bellefonte,PA,CENTRE,1
Bellevue,OH,HURON,1
Bellville,OH,RICHLAND,1
Belton,TX,BELL,2
Berkeley,CA,ALAMEDA,4
Bernardsville,NJ,SOMERSET,1
Bethany,CT,NEW HAVEN,1
Bethel,ME,OXFORD,1
Bettendorf,IA,SCOTT,1
Beverly,MA,ESSEX,1
Biddeford,ME,YORK,1
Big Rock,IL,KANE,1
Biglerville,PA,ADAMS,1
Billerica,MA,MIDDLESEX,2
Bishopville,MD,WORCESTER,1
Bismarck,ND,BURLEIGH,2
Black River,MI,ALCONA,2
Blackfoot,ID,BINGHAM,1
Blacksburg,VA,MONTGOMERY,1
Blairsville,PA,INDIANA,1
Blanco,TX,BLANCO,1
Bloomfield,NJ,ESSEX,1
Bloomington,IN,MONROE,1
Blossom,TX,LAMAR,3
Blossvale,NY,ONEIDA,2
Blue Bell,PA,MONTGOMERY,1
Blue Grass,IA,SCOTT,1
Blue Hill,ME,HANCOCK,0
Blue Mounds,WI,DANE,1
Bluffton,SC,BEAUFORT,5
Blythewood,SC,RICHLAND,1
Boerne,TX,KENDALL,1
Boise,ID,ADA,3
Bonita Springs,FL,LEE,3
Boone,IA,BOONE,1
Boulder Junction,WI,VILAS,1
Bountiful,UT,DAVIS,0
Boyne City,MI,CHARLEVOIX,1
Boynton Beach,FL,PALM BEACH,2
Bradenton,FL,MANATEE,12
Bradford,NH,MERRIMACK,2
Bradley Beach,NJ,MONMOUTH,1
Braidwood,IL,WILL,1
Brainerd,MN,CROW WING,3
Brandon,SD,MINNEHAHA,1
Breaux Bridge,LA,SAINT MARTIN,1
Brigantine,NJ,ATLANTIC,1
Brigham City,UT,BOX ELDER,1
Brighton,MI,LIVINGSTON,2
Bristol,CT,HARTFORD,1
Bristol,VT,ADDISON,1
Broadalbin,NY,FULTON,1
Brockport,NY,MONROE,1
Brodhead,WI,GREEN,1
Broken Arrow,OK,TULSA,5
