City,State/Province,County,Count,Latitude,Longitude
aberdeen,SD,BROWN,9,45.5,-98.5
abilene,KS,DICKINSON,3,39.0,-97.2
abilene,TX,TAYLOR,35,32.5,-99.7
adamstown,MD,FREDERICK,2,39.3,-77.5
advance,NC,DAVIE,6,36.0,-80.5
afton,VA,NELSON,1,38.0,-78.8
akron,OH,SUMMIT,42,41.0,-81.5
albany,NY,ALBANY,138,42.7,-73.7
albuquerque,NM,BERNALILLO,15,35.1,-106.7
aledo,TX,PARKER,10,32.7,-97.6
alexander,NC,BUNCOMBE,1,35.7,-82.6
alexandria bay,NY,JEFFERSON,9,44.3,-75.9
allen,TX,COLLIN,3,33.1,-96.6
allentown,PA,LEHIGH,12,40.6,-75.5
alliance,OH,STARK,4,40.9,-81.1
alpena,MI,ALPENA,1,45.1,-83.5
alpine,TX,BREWSTER,6,29.8,-103.6
alstead,NH,CHESHIRE,4,43.1,-72.3
altoona,IA,POLK,3,41.6,-93.5
altus,OK,JACKSON,1,34.7,-99.3
amana,IA,IOWA,6,41.8,-92.1
amarillo,TX,POTTER,8,35.2,-101.8
amarillo,TX,RANDALL,4,35.2,-101.8
amityville,NY,SUFFOLK,4,40.7,-73.4
anderson,IN,MADISON,7,40.0,-85.6
anderson,SC,ANDERSON,2,34.5,-82.6
ann arbor,MI,WASHTENAW,22,42.3,-83.8
annapolis,MD,ANNE ARUNDEL,10,39.0,-76.6
appleton,WI,OUTAGAMIE,5,44.3,-88.4
ardmore,OK,CARTER,3,34.3,-96.9
arlington,TX,TARRANT,36,32.6,-97.2
arlington,VA,ARLINGTON,102,38.9,-77.1
arroyo grande,CA,SAN LUIS OBISPO,4,35.1,-120.4
asbury,WV,GREENBRIER,2,37.8,-80.6
asheville,NC,BUNCOMBE,36,35.6,-82.6
ashland,KY,BOYD,12,38.5,-82.7
astoria,NY,QUEENS,4,40.7,-73.9
atchison,KS,ATCHISON,2,39.5,-95.1
athens,GA,CLARKE,9,34.0,-83.4
atlanta,GA,COBB,72,33.8,-84.3
atlanta,GA,DEKALB,153,33.8,-84.3
atlanta,GA,FULTON,261,33.8,-84.3
atlantic beach,FL,DUVAL,20,30.3,-81.4
atlantic beach,NC,CARTERET,7,34.7,-76.7
atlantic city,NJ,ATLANTIC,6,39.4,-74.4
aubrey,TX,DENTON,12,33.3,-97.0
auburn,NY,CAYUGA,7,42.9,-76.6
auburndale,FL,POLK,2,28.1,-81.8
austin,TX,HAYS,22,30.2,-97.7
austin,TX,TRAVIS,946,30.2,-97.7
austin,TX,WILLIAMSON,66,30.2,-97.7
avon,CT,HARTFORD,1,41.8,-72.9
avon,OH,LORAIN,1,41.4,-82.0
bahama,NC,DURHAM,1,36.1,-78.9
bala cynwyd,PA,MONTGOMERY,4,40.0,-75.2
baldwinsville,NY,ONONDAGA,6,43.2,-76.4
ball ground,GA,CHEROKEE,1,34.3,-84.4
baltimore,MD,ANNE ARUNDEL,6,39.3,-76.5
baltimore,MD,BALTIMORE,9,39.3,-76.5
baltimore,MD,BALTIMORE CITY,114,39.3,-76.5
bangor,PA,NORTHAMPTON,3,40.8,-75.2
bar harbor,ME,HANCOCK,4,44.4,-68.3
barboursville,WV,CABELL,1,38.4,-82.3
barbourville,KY,KNOX,11,36.9,-84.0
bark river,MI,DELTA,6,45.7,-87.3
basking ridge,NJ,SOMERSET,1,40.7,-74.6
bastrop,LA,MOREHOUSE,8,32.9,-91.9
bastrop,TX,BASTROP,4,30.2,-97.3
bath,ME,SAGADAHOC,3,43.8,-69.8
baton rouge,LA,EAST BATON ROUGE,221,30.4,-91.2
bay village,OH,CUYAHOGA,2,41.5,-81.9
baytown,TX,CHAMBERS,30,29.8,-94.9
baytown,TX,HARRIS,65,29.8,-94.9
bayville,NJ,OCEAN,60,39.9,-74.2
bearsville,NY,ULSTER,4,42.0,-74.2
beaver,OH,PIKE,2,39.0,-82.8
beaver,WV,RALEIGH,3,37.7,-81.1
beaver falls,PA,BEAVER,8,40.8,-80.4
beaverton,MI,GLADWIN,1,43.9,-84.4
bedford,NY,WESTCHESTER,1,41.2,-73.6
beech grove,IN,MARION,1,39.7,-86.1
bella vista,AR,BENTON,2,36.5,-94.2
bellaire,MI,ANTRIM,1,45.0,-85.3
belle,MO,MARIES,12,38.3,-91.8
bellefonte,PA,CENTRE,12,40.9,-77.7
beloit,WI,ROCK,1,42.5,-89.1
belton,TX,BELL,6,31.1,-97.5
bemidji,MN,BELTRAMI,10,47.5,-94.7
benton,AR,SALINE,16,34.6,-92.7
bergheim,TX,KENDALL,1,29.8,-98.8
berryville,VA,CLARKE,4,39.2,-78.0
bethany,CT,NEW HAVEN,2,41.3,-73.0
bethany,OK,OKLAHOMA,8,35.5,-97.6
bettendorf,IA,SCOTT,3,41.6,-90.5
big sur,CA,MONTEREY,20,36.2,-121.6
billingsley,AL,AUTAUGA,1,32.6,-86.7
biloxi,MS,HARRISON,9,30.4,-88.9
binghamton,NY,BROOME,17,42.2,-75.9
birmingham,MI,OAKLAND,2,42.5,-83.2
blairsville,PA,INDIANA,1,40.5,-79.4
blanchard,OK,MCCLAIN,4,35.1,-97.7
bloomfield,NJ,ESSEX,8,40.8,-74.2
bloomingdale,NJ,PASSAIC,10,41.0,-74.3
bloomington,IL,MCLEAN,16,40.5,-89.0
bloomington,IN,MONROE,21,39.1,-86.5
blowing rock,NC,WATAUGA,8,36.0,-81.8
bluffton,OH,ALLEN,3,40.9,-83.9
bluffton,SC,BEAUFORT,3,32.2,-80.9
boerne,TX,KENDALL,6,29.8,-98.8
boise,ID,ADA,15,43.7,-116.2
bolivia,NC,BRUNSWICK,2,34.0,-78.2
bolton landing,NY,WARREN,2,43.6,-73.7
bonita springs,FL,LEE,5,26.4,-81.7
boone,IA,BOONE,5,42.1,-93.8
boone,NC,WATAUGA,13,36.2,-81.7
boston,MA,SUFFOLK,20,42.4,-71.1
botkins,OH,SHELBY,1,40.5,-84.2
boulder city,NV,CLARK,2,35.9,-114.8
bowling green,KY,WARREN,5,37.1,-86.5
boyds,MD,MONTGOMERY,1,39.2,-77.3
braidwood,IL,WILL,2,41.2,-88.2
