Town,State/Province,County,Count,Latitude,Longitude,FIPS
aberdeen,SD,brown,3,45.5,-98.5,46013.0
abilene,TX,taylor,420,32.5,-99.7,48441.0
ace,TX,polk,1,30.5,-94.8,48373.0
ada,OK,pontotoc,32,34.8,-96.7,40123.0
addison,IL,dupage,1,41.9,-88.0,17043.0
addison,TX,dallas,5,33.0,-96.8,48113.0
adel,GA,cook,1,31.1,-83.4,13075.0
adrian,MI,lenawee,2,41.9,-84.1,26091.0
afton,VA,nelson,4,38.0,-78.8,51125.0
akron,OH,summit,210,41.0,-81.5,39153.0
alameda,CA,alameda,1004,37.8,-122.3,6001.0
alamogordo,NM,otero,2,32.8,-106.1,35035.0
albany,CA,alameda,2100,37.9,-122.3,6001.0
albuquerque,NM,bernalillo,60,35.1,-106.6,35001.0
alexandria,VA,alexandria city,22,39.0,-77.0,51510.0
alexandria,VA,fairfax,20,39.0,-77.0,51059.0
alexandria bay,NY,jefferson,90,44.3,-75.9,36045.0
algonquin,IL,mchenry,8,42.2,-88.3,17111.0
allen,OK,pontotoc,1,34.8,-96.5,40123.0
allen,TX,collin,18,33.1,-96.6,48085.0
allendale,NJ,bergen,2,41.0,-74.1,34003.0
allentown,PA,lehigh,6,40.6,-75.5,42077.0
alma,MI,gratiot,1,43.4,-84.7,26057.0
alpena,MI,alpena,1,45.1,-83.5,26007.0
alstead,NH,cheshire,8,43.1,-72.3,33005.0
alton,VA,halifax,1,36.6,-79.0,51083.0
altus,OK,jackson,7,34.7,-99.3,40065.0
alvin,IL,vermilion,1,40.3,-87.6,17183.0
amherst,NH,hillsborough,1,42.9,-71.6,33011.0
amherst,OH,lorain,21,41.4,-82.3,39093.0
anderson,SC,anderson,20,34.5,-82.6,45007.0
ann arbor,MI,washtenaw,748,42.3,-83.8,26161.0
annapolis,MD,anne arundel,10,39.0,-76.6,24003.0
apex,NC,wake,2,35.7,-78.9,37183.0
apopka,FL,orange,2,28.7,-81.5,12095.0
appleton,WI,outagamie,15,44.3,-88.4,55087.0
arivaca,AZ,pima,1,32.0,-110.8,4019.0
arkadelphia,AR,clark,14,34.1,-93.1,5019.0
arlington,TX,tarrant,60,32.6,-97.2,48439.0
arlington,VA,arlington,238,38.9,-77.1,51013.0
arnaudville,LA,st. landry,1,30.4,-91.9,
arnold,MD,anne arundel,1,39.0,-76.5,24003.0
arroyo grande,CA,san luis obispo,2,35.1,-120.4,6079.0
arvada,CO,jefferson,4,39.8,-105.1,8059.0
ashburn,GA,turner,2,31.7,-83.7,13287.0
ashburn,VA,loudoun,48,39.0,-77.5,51107.0
asheboro,NC,randolph,23,35.6,-79.8,37151.0
asheville,NC,buncombe,315,35.6,-82.6,37021.0
atchison,KS,atchison,2,39.5,-95.1,20005.0
atlanta,GA,cobb,72,33.8,-84.4,13067.0
