City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
AUstin,TX,HAYS,2014-10-26,2014,10,26,Fall,10,30.2,-97.7,,,,,,,,,,,,,,,
AUstin,TX,TRAVIS,2014-10-26,2014,10,26,Fall,430,30.2,-97.7,365.0,176.0,189.0,0.0,0.0,0.0,0.0,97.0,69.0,51.0,0.0,6.0,117.0,241.0,1.0
AUstin,TX,WILLIAMSON,2014-10-26,2014,10,26,Fall,30,30.2,-97.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2014-09-16,2014,9,16,Fall,28,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2014-10-04,2014,10,4,Fall,35,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2014-10-05,2014,10,5,Fall,14,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2014-10-06,2014,10,6,Fall,35,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2014-10-08,2014,10,8,Fall,21,32.5,-99.7,,,,,,,,,,,,,,,
Ada,MI,KENT,2014-08-20,2014,8,20,Summer,2,43.0,-85.5,365.0,174.0,188.0,3.0,0.0,0.0,0.0,121.0,66.0,51.0,1.0,0.0,81.0,283.0,0.0
Ada,OK,PONTOTOC,2014-10-03,2014,10,3,Fall,60,34.8,-96.8,,,,,,,,,,,,,,,
Ada,OK,PONTOTOC,2014-10-15,2014,10,15,Fall,4,34.8,-96.8,,,,,,,,,,,,,,,
Akron,OH,SUMMIT,2014-10-02,2014,10,2,Fall,105,41.0,-81.5,365.0,289.0,75.0,1.0,0.0,0.0,0.0,107.0,60.0,35.0,100.0,0.0,150.0,115.0,0.0
Alamogordo,NM,OTERO,2014-10-25,2014,10,25,Fall,8,32.8,-106.1,,,,,,,,,,,,,,,
Albany,IN,DELAWARE,2014-07-04,2014,7,4,Summer,1,40.3,-85.3,240.0,184.0,55.0,1.0,0.0,0.0,0.0,130.0,61.0,41.0,0.0,0.0,139.0,101.0,0.0
Albany,NY,ALBANY,2014-08-02,2014,8,2,Summer,46,42.7,-73.7,365.0,259.0,106.0,0.0,0.0,0.0,0.0,87.0,59.0,42.0,0.0,0.0,158.0,207.0,0.0
Albany,VT,ORLEANS,2014-07-10,2014,7,10,Summer,1,44.7,-72.3,,,,,,,,,,,,,,,
