Date,Town,State/Province,Latitude,Longitude,Number,Image
Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/31/14,Long Beach,CA,33.8,-118.2,1
2,12/31/14,Inverness,FL,28.8,-82.3,1
3,12/30/14,burbank,CA,34.2,-118.3,2
4,12/29/14,gulfport,MS,30.4,-89.1,5
5,12/29/14,gulfport,MS,30.4,-89.1,5
6,12/28/14,Mary Esther,FL,30.4,-86.8,1
7,12/28/14,Torrance,CA,33.8,-118.3,3
8,12/26/14,Angangueo,MIC,19.6,-100.3,1
9,12/22/14,Houston,TX,29.8,-95.4,1
10,12/22/14,Katy,TX,29.8,-95.7,2
11,12/20/14,Palm Bay,FL,28,-80.6,1
12,12/19/14,Ewa Beach,HI,21.3,-158,1
13,12/18/14,Silver Spring,MD,39,-77,1
14,12/17/14,Rockport,TX,28.2,-97,2
15,12/17/14,"Edisto Beach, South Carolina",ON,31.7,-80.2,6
16,12/17/14,Rockport,TX,28.2,-97,1
17,12/16/14,Palm Bay,FL,28,-80.6,1
18,12/15/14,panama city beach,FL,30.2,-85.8,1
19,12/15/14,Houston,TX,29.8,-95.4,1
20,12/13/14,"Rockport,",TX,38.7,-90.3,1
21,12/13/14,Cedar Key,FL,29.2,-83,1
22,12/12/14,Houston,TX,29.8,-95.4,1
23,12/11/14,Chino,CA,34,-117.7,1
24,12/11/14,Katy,TX,29.8,-95.7,1
25,12/10/14,Mount Dora,FL,28.8,-81.6,1
26,12/10/14,Clearamont,FL,28.8,-81.6,1
27,12/09/14,Theodore,AL,30.5,-88.2,4
28,12/09/14,Port Aransas,TX,27.9,-97.1,5
29,12/08/14,Theodore,AL,30.5,-88.2,2
30,12/08/14,Key Largo,FL,25.2,-80.4,5
31,12/07/14,gulfport,MS,30.4,-89.1,1
32,12/07/14,gulfport,MS,30.4,-89.1,3
33,12/06/14,Mount Dora,FL,28.8,-81.6,1
34,12/06/14,Theodore,AL,30.5,-88.2,4
35,12/06/14,Houston,TX,29.8,-95.4,1
36,12/06/14,south padre island,TX,26.4,-97.2,15
37,12/06/14,Manchaca,TX,30.1,-97.9,1
38,12/06/14,GRAND RAPIDS,FL,29.8,-85.3,6
39,12/06/14,GRAND RAPIDS,FL,29.8,-85.3,6
40,12/05/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,2
41,12/05/14,Chandler,AZ,33.3,-111.9,2
42,12/05/14,Marathon,FL,24.7,-81.1,17
43,12/04/14,Theodore,AL,30.5,-88.2,4
44,12/04/14,Houston,TX,29.8,-95.4,2
45,12/03/14,Tajo Viejo,DUR,25.7,-103.4,13
46,12/02/14,Houston,TX,29.8,-95.4,1
47,12/01/14,Austin,TX,30.2,-97.7,60
48,12/01/14,Hattiesburg,MS,31.2,-89.3,1
49,12/01/14,Temple Terrace,FL,28,-82.4,1
50,11/30/14,Houston,TX,29.8,-95.4,2
51,11/29/14,Guadalupe,NL,25.7,-100.2,1
52,11/29/14,Goleta,CA,34.4,-119.9,3
53,11/28/14,Austin,TX,30.2,-97.7,2
54,11/28/14,Homestead,FL,25.5,-80.5,1
55,11/28/14,Mary Esther,FL,30.4,-86.8,6
56,11/27/14,Salado,TX,30.9,-97.6,3
57,11/24/14,panama city beach,FL,30.2,-85.8,3
58,11/24/14,Humble,TX,30,-95.2,2
59,11/24/14,Mary Esther,FL,30.4,-86.8,4
60,11/23/14,San Antonio,TX,29.5,-98.5,1
61,11/23/14,Salado,TX,30.9,-97.6,2
62,11/22/14,LEESBURG,FL,28.8,-81.9,2
63,11/21/14,Herndon,VA,39,-77.4,1
64,11/21/14,Herndon,VA,39,-77.4,1
65,11/21/14,Theodore,AL,30.5,-88.2,8
66,11/21/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,2
67,11/20/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,2
68,11/19/14,Katy,TX,29.8,-95.7,3
69,11/17/14,Palm Bay,FL,28,-80.6,1
70,11/16/14,Monterrey,NL,25.7,-100.3,3
71,11/16/14,Guadalupe,NL,25.7,-100.2,14
72,11/15/14,Long Beach,CA,33.8,-118.2,1
73,11/15/14,Tustin,CA,33.7,-117.8,2
74,11/15/14,Guadalupe,NL,25.7,-100.2,1
75,11/15/14,Palm Bay,FL,28,-80.6,1
76,11/14/14,Statham,GA,34,-83.6,1
77,11/14/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,1
78,11/13/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,1
79,11/12/14,Linthicum,MD,39.2,-76.7,1
80,11/12/14,Mount Dora,FL,28.8,-81.6,2
81,11/12/14,Mount Dora,FL,28.8,-81.6,2
82,11/12/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,3
83,11/11/14,chatham,MA,41.7,-69.9,1
84,11/11/14,Winston Salem,NC,36.1,-80.2,1
85,11/11/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,10
86,11/11/14,Theodore,AL,30.5,-88.2,8
87,11/11/14,Belton,TX,31.1,-97.5,1
88,11/11/14,Toronto,ON,43.7,-79.4,1
89,11/10/14,Chalmette,LA,30,-89.9,3
90,11/10/14,San Antonio,TX,29.5,-98.5,3
91,11/10/14,Lexington,KY,38,-84.5,1
92,11/10/14,Harrodsburg,KY,37.8,-84.9,1
93,11/10/14,Wooster,OH,40.8,-82,1
94,11/10/14,Holgate,NJ,39.8,-74.2,1
95,11/10/14,Spring,TX,30.1,-95.4,1
96,11/10/14,atlanta,GA,33.8,-84.4,1
97,11/10/14,San Antonio,TX,29.5,-98.5,2
98,11/10/14,San NicolÃ¡s de los Garza,NL,25.7,-100.3,108
99,11/10/14,Nantucket,MA,41.3,-70.1,1
100,11/10/14,Lancaster,PA,40.1,-76.3,3
101,11/10/14,Waycross,GA,31.2,-82.3,1
102,11/10/14,Gulf Breeze,FL,30.4,-86.9,1
103,11/10/14,San Antonio,TX,29.3,-98.5,15
104,11/10/14,panama city beach,FL,30.2,-85.8,40
105,11/09/14,Monterrey,NL,25.7,-100.3,500
106,11/09/14,Jacksonville,FL,30.3,-81.8,1
107,11/09/14,Glenmoore,PA,40.1,-75.8,1
108,11/09/14,Mount Dora,FL,28.8,-81.6,2
109,11/09/14,San Antonio,TX,29.5,-98.5,1
110,11/09/14,San Antonio,TX,29.5,-98.5,2
111,11/09/14,San Antonio,TX,29.5,-98.5,1
112,11/09/14,San Antonio,TX,29.5,-98.5,3
113,11/09/14,Saint Martinville,LA,30.1,-91.8,1
114,11/09/14,GÃ³mez Palacio,DUR,25.6,-103.5,1
115,11/09/14,Mer Rouge,LA,32.8,-91.7,1
116,11/09/14,San Antonio,TX,29.5,-98.5,50
117,11/09/14,Guadalupe,NL,25.7,-100.2,35
118,11/08/14,Summerville,SC,33.1,-80.2,1
119,11/08/14,Summerville,SC,33.1,-80.2,1
120,11/08/14,San Antonio,TX,29.3,-98.5,29
121,11/08/14,Austin,TX,30.2,-97.7,1
122,11/08/14,Monterrey,NL,25.7,-100.3,2
123,11/08/14,San Antonio,TX,29.5,-98.5,2
124,11/08/14,San Antonio,TX,29.5,-98.5,5
125,11/08/14,San Antonio,TX,29.5,-98.5,1
126,11/08/14,San Antonio,TX,29.5,-98.5,1
127,11/08/14,San Antonio,TX,29.5,-98.5,1
128,11/07/14,Marble Falls,TX,30.6,-98.3,1
129,11/07/14,Long Beach,CA,33.8,-118.2,2
130,11/07/14,Marble Falls,TX,30.6,-98.3,1
131,11/07/14,Miami,FL,25.8,-80.2,1
132,11/07/14,Mount Dora,FL,28.8,-81.6,1
133,11/07/14,Houston,TX,29.8,-95.4,1
134,11/07/14,Fullerton,CA,33.9,-117.9,4
135,11/07/14,Corona,CA,33.9,-117.6,4
136,11/07/14,Blythe,AZ,33.3,-114.7,1
137,11/07/14,San Antonio,TX,29.5,-98.5,4
138,11/07/14,San Antonio,TX,29.5,-98.5,25
139,11/07/14,Belton,TX,31.1,-97.5,2
140,11/06/14,Huntersville,NC,35.4,-80.9,1
141,11/06/14,Theodore,AL,30.5,-88.2,1
142,11/06/14,Plains,GA,32,-84.4,1
143,11/06/14,Magnolia,TX,30.2,-95.7,1
144,11/06/14,Granbury,TX,32.4,-97.8,2
145,11/06/14,Middleburg,FL,30.1,-81.9,2
146,11/06/14,king george,VA,38.3,-77.1,1
147,11/06/14,Double Spring,NV,38.8,-119.6,1
148,11/06/14,El Embudo,SON,28.5,-111.6,5
149,11/06/14,El Embudo,SON,28.5,-111.6,5
150,11/05/14,Bluffton,SC,32.2,-80.9,1
151,11/05/14,Zion,PA,40.8,-77.6,1
152,11/05/14,DUNEDIN,FL,28,-82.8,1
153,11/05/14,Theodore,AL,30.5,-88.2,6
154,11/05/14,Middleburg,FL,30.1,-81.9,1
155,11/05/14,Townsend,TN,35.6,-83.8,1
156,11/05/14,Lincolnton,NC,35.5,-81.2,1
157,11/05/14,Sea Ranch,CA,38.7,-123.5,3
158,11/05/14,Atlantic Beach,NC,34.7,-76.8,12
159,11/05/14,San Antonio,TX,29.5,-98.5,3
160,11/04/14,Pearland,TX,29.6,-95.3,1
161,11/04/14,North Beach Haven,NJ,39.6,-74.2,2
162,11/04/14,Llano,TX,30.6,-98.7,50
163,11/04/14,Hagerstown,MD,39.6,-77.7,1
164,11/04/14,Austin,TX,30.2,-97.7,50
165,11/04/14,Tempe,AZ,33.4,-111.9,1
166,11/04/14,Round Rock,TX,30.5,-97.7,1
167,11/04/14,Houston,TX,29.8,-95.4,1
168,11/04/14,victoria,TAM,23.7,-99.2,2
169,11/04/14,Los Fresnos,TX,26.1,-97.5,2
170,11/04/14,Athens,OH,39.3,-82.1,1
171,11/04/14,Kerrville,TX,30,-99.1,3
172,11/04/14,Long Beach,CA,33.8,-118.2,1
173,11/03/14,Mer Rouge,LA,32.8,-91.7,3
174,11/03/14,mountain top,PA,41.1,-76,1
175,11/03/14,Normandy,MO,38.7,-90.3,1
176,11/03/14,Sylva,NC,35.4,-83.2,3
177,11/03/14,Corolla,NC,36.3,-75.8,2
178,11/03/14,Austin,TX,30.2,-97.7,45
179,11/03/14,Uvalde,TX,29.3,-99.9,4
180,11/03/14,Mount Dora,FL,28.8,-81.6,2
181,11/03/14,Fernandina Beach,FL,30.6,-81.5,7
182,11/03/14,Austin,TX,30.2,-97.7,1
183,11/03/14,Monroe,LA,32.5,-92.1,8
184,11/03/14,Rosetta McClain gardens Scarborough,ON,43.7,-79.3,1
185,11/03/14,Lincolnton,NC,35.5,-81.2,1
186,11/03/14,San Antonio,TX,29.5,-98.5,100
187,11/03/14,San Antonio,TX,29.5,-98.5,1
188,11/03/14,Glorieta,DUR,25.8,-103.4,3
189,11/02/14,Austin,TX,30.2,-97.7,20
190,11/02/14,Gilmanton,WI,44.5,-91.7,1
