City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Big Sur,CA,MONTEREY,2015-01-01,36.2,-121.6,2015,1,1,Winter,131656
Ventura,CA,VENTURA,2015-01-01,34.3,-119.3,2015,1,1,Winter,12
Morro Bay,CA,SAN LUIS OBISPO,2015-01-01,35.4,-120.8,2015,1,1,Winter,15890
Santa Cruz,CA,SANTA CRUZ,2015-01-01,37.1,-122.2,2015,1,1,Winter,28000
Santa Barbara,CA,SANTA BARBARA,2015-01-01,34.4,-119.7,2015,1,1,Winter,54481
San Luis Obispo,CA,SAN LUIS OBISPO,2015-01-01,35.2,-120.6,2015,1,1,Winter,111048
San Leandro,CA,ALAMEDA,2015-01-01,37.7,-122.2,2015,1,1,Winter,7750
Saint Petersburg,FL,PINELLAS,2015-01-01,27.8,-82.6,2015,1,1,Winter,52
Punta Gorda,FL,CHARLOTTE,2015-01-01,27.0,-82.2,2015,1,1,Winter,3
Pismo Beach,CA,SAN LUIS OBISPO,2015-01-01,35.2,-120.7,2015,1,1,Winter,59608
Houston,TX,FORT BEND,2015-01-02,29.8,-95.4,2015,1,2,Winter,1
Houston,TX,HARRIS,2015-01-02,29.8,-95.4,2015,1,2,Winter,43
Inverness,FL,CITRUS,2015-01-03,28.8,-82.3,2015,1,3,Winter,1
Long Beach,CA,LOS ANGELES,2015-01-04,33.8,-118.2,2015,1,4,Winter,20
Long Beach,CA,LOS ANGELES,2015-01-05,33.8,-118.2,2015,1,5,Winter,20
Tallahassee,FL,LEON,2015-01-05,30.4,-84.3,2015,1,5,Winter,12
La Mesa,CA,SAN DIEGO,2015-01-06,32.8,-117.0,2015,1,6,Winter,1
Mount Dora,FL,LAKE,2015-01-06,28.8,-81.6,2015,1,6,Winter,1
Palm Bay,FL,BREVARD,2015-01-07,28.0,-80.6,2015,1,7,Winter,4
Mount Dora,FL,LAKE,2015-01-07,28.8,-81.6,2015,1,7,Winter,1
Long Beach,CA,LOS ANGELES,2015-01-07,33.8,-118.2,2015,1,7,Winter,20
Palm Bay,FL,BREVARD,2015-01-09,28.0,-80.6,2015,1,9,Winter,4
ALTAMONTE SPRINGS,FL,SEMINOLE,2015-01-10,28.7,-81.4,2015,1,10,Winter,3
Palm Bay,FL,BREVARD,2015-01-11,28.0,-80.6,2015,1,11,Winter,4
New Orleans,LA,JEFFERSON,2015-01-12,30.0,-90.1,2015,1,12,Winter,6
Long Beach,CA,LOS ANGELES,2015-01-12,33.8,-118.2,2015,1,12,Winter,60
New Orleans,LA,ORLEANS,2015-01-12,30.0,-90.1,2015,1,12,Winter,24
Palm Bay,FL,BREVARD,2015-01-13,28.0,-80.6,2015,1,13,Winter,4
Long Beach,CA,LOS ANGELES,2015-01-14,33.8,-118.2,2015,1,14,Winter,20
LAKEWOOD,CA,LOS ANGELES,2015-01-15,33.8,-118.1,2015,1,15,Winter,1
zephyrhills,FL,PASCO,2015-01-15,28.2,-82.1,2015,1,15,Winter,1
Houston,TX,FORT BEND,2015-01-17,29.8,-95.4,2015,1,17,Winter,1
Houston,TX,HARRIS,2015-01-17,29.8,-95.4,2015,1,17,Winter,43
Theodore,AL,MOBILE,2015-01-17,30.5,-88.2,2015,1,17,Winter,2
Venice,FL,SARASOTA,2015-01-17,27.1,-82.5,2015,1,17,Winter,1
Palm Bay,FL,BREVARD,2015-01-18,28.0,-80.6,2015,1,18,Winter,4
Cocoa,FL,BREVARD,2015-01-20,28.4,-80.7,2015,1,20,Winter,3
Palm Bay,FL,BREVARD,2015-01-20,28.0,-80.6,2015,1,20,Winter,4
Theodore,AL,MOBILE,2015-01-20,30.5,-88.2,2015,1,20,Winter,2
Palm Bay,FL,BREVARD,2015-01-21,28.0,-80.6,2015,1,21,Winter,4
North Hollywood,CA,LOS ANGELES,2015-01-22,34.2,-118.4,2015,1,22,Winter,13
New Orleans,LA,JEFFERSON,2015-01-22,30.0,-90.1,2015,1,22,Winter,6
Long Beach,CA,LOS ANGELES,2015-01-22,33.8,-118.2,2015,1,22,Winter,20
New Orleans,LA,ORLEANS,2015-01-22,30.0,-90.1,2015,1,22,Winter,24
Mount Dora,FL,LAKE,2015-01-22,28.8,-81.6,2015,1,22,Winter,1
Monterey,CA,MONTEREY,2015-01-23,36.6,-121.8,2015,1,23,Winter,5
Phoenix,AZ,MARICOPA,2015-01-24,33.5,-112.1,2015,1,24,Winter,5
Long Beach,CA,LOS ANGELES,2015-01-24,33.8,-118.2,2015,1,24,Winter,40
Scottsdale,AZ,MARICOPA,2015-01-24,33.5,-111.9,2015,1,24,Winter,1
Covina,CA,LOS ANGELES,2015-01-24,34.1,-117.9,2015,1,24,Winter,2
Long Beach,CA,LOS ANGELES,2015-01-25,33.8,-118.2,2015,1,25,Winter,20
Redondo Beach,CA,LOS ANGELES,2015-01-25,33.8,-118.4,2015,1,25,Winter,1
Houston,TX,FORT BEND,2015-01-25,29.8,-95.4,2015,1,25,Winter,1
Houston,TX,HARRIS,2015-01-25,29.8,-95.4,2015,1,25,Winter,43
Long Beach,CA,LOS ANGELES,2015-01-26,33.8,-118.2,2015,1,26,Winter,20
Newark,CA,ALAMEDA,2015-01-26,37.5,-122.0,2015,1,26,Winter,1
Newark,CA,ALAMEDA,2015-01-27,37.5,-122.0,2015,1,27,Winter,1
Ormond Beach,FL,VOLUSIA,2015-01-27,29.3,-81.1,2015,1,27,Winter,1
Port Aransas,TX,NUECES,2015-01-28,27.9,-97.1,2015,1,28,Winter,1
Port Lavaca,TX,CALHOUN,2015-01-28,28.5,-96.7,2015,1,28,Winter,10
Long Beach,CA,LOS ANGELES,2015-01-28,33.8,-118.2,2015,1,28,Winter,20
