City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
Pismo Beach,CA,san luis obispo,2016-01-01,35.2,-120.7,2016,1,1,Winter,56146,77.0
Houston,TX,fort bend,2016-01-01,29.8,-95.4,2016,1,1,Winter,2,
Santa Cruz,CA,santa cruz,2016-01-01,37.1,-122.2,2016,1,1,Winter,48000,59.0
Lake placid,FL,highlands,2016-01-01,27.3,-81.4,2016,1,1,Winter,3,23.0
Huntington Beach,CA,orange,2016-01-01,33.7,-118.0,2016,1,1,Winter,800,41.0
San Leandro,CA,alameda,2016-01-01,37.7,-122.2,2016,1,1,Winter,12864,52.0
Morro Bay,CA,san luis obispo,2016-01-01,35.4,-120.8,2016,1,1,Winter,13492,77.0
Winter Springs,FL,seminole,2016-01-01,28.7,-81.3,2016,1,1,Winter,9,61.0
Houston,TX,harris,2016-01-01,29.8,-95.4,2016,1,1,Winter,86,49.0
Pacific Grove,CA,monterey,2016-01-01,36.6,-121.9,2016,1,1,Winter,22944,73.0
PORT RICHEY,FL,pasco,2016-01-01,28.4,-82.7,2016,1,1,Winter,10,25.0
Bolinas,CA,marin,2016-01-01,37.9,-122.7,2016,1,1,Winter,10200,55.0
Corolla,NC,currituck,2016-01-02,36.3,-75.8,2016,1,2,Winter,1,
Mesa,AZ,maricopa,2016-01-02,33.4,-111.8,2016,1,2,Winter,1,64.0
Charleston,SC,charleston,2016-01-03,32.8,-79.9,2016,1,3,Winter,22,57.0
Windermere,FL,orange,2016-01-03,28.5,-81.6,2016,1,3,Winter,2,32.0
Wickenburg,AZ,maricopa,2016-01-03,33.9,-112.7,2016,1,3,Winter,1,54.0
Charleston,SC,berkeley,2016-01-03,32.8,-79.9,2016,1,3,Winter,8,
VICTORIA,TX,victoria,2016-01-04,28.9,-97.0,2016,1,4,Winter,6,37.0
Satellite Beach,FL,brevard,2016-01-06,28.2,-80.6,2016,1,6,Winter,6,40.0
Savannah,GA,chatham,2016-01-06,32.1,-81.1,2016,1,6,Winter,40,31.0
HARLINGEN,TX,cameron,2016-01-06,26.2,-97.7,2016,1,6,Winter,18,41.0
Crystal River,FL,citrus,2016-01-07,29.0,-82.6,2016,1,7,Winter,1,52.0
Spring,TX,montgomery,2016-01-07,30.1,-95.4,2016,1,7,Winter,30,27.0
Spring,TX,harris,2016-01-07,30.1,-95.4,2016,1,7,Winter,20,51.0
cape coral,FL,lee,2016-01-08,26.6,-81.9,2016,1,8,Winter,21,49.0
Jordan,NY,onondaga,2016-01-08,43.1,-76.5,2016,1,8,Winter,2,31.0
Matagorda,TX,matagorda,2016-01-09,28.8,-95.9,2016,1,9,Winter,1,
New Orleans,LA,jefferson,2016-01-09,30.0,-90.1,2016,1,9,Winter,36,38.0
New Orleans,LA,orleans,2016-01-09,30.0,-90.1,2016,1,9,Winter,144,37.0
Houston,TX,fort bend,2016-01-10,29.8,-95.4,2016,1,10,Winter,2,
Houston,TX,harris,2016-01-10,29.8,-95.4,2016,1,10,Winter,86,44.0
Lehigh Acres,FL,lee,2016-01-12,26.6,-81.6,2016,1,12,Winter,4,47.0
Tallahassee,FL,leon,2016-01-12,30.4,-84.3,2016,1,12,Winter,12,60.0
Austin,TX,hays,2016-01-12,30.2,-97.7,2016,1,12,Winter,2,
Austin,TX,travis,2016-01-12,30.2,-97.7,2016,1,12,Winter,86,56.0
Austin,TX,williamson,2016-01-12,30.2,-97.7,2016,1,12,Winter,6,
Austin,TX,travis,2016-01-13,30.2,-97.7,2016,1,13,Winter,43,58.0
Gulf Shores,AL,baldwin,2016-01-13,30.2,-88.0,2016,1,13,Winter,1,48.0
Austin,TX,williamson,2016-01-13,30.2,-97.7,2016,1,13,Winter,3,
Austin,TX,hays,2016-01-13,30.2,-97.7,2016,1,13,Winter,1,
Galveston,TX,galveston,2016-01-13,29.3,-94.8,2016,1,13,Winter,7,44.0
Boerne,TX,kendall,2016-01-13,29.8,-98.8,2016,1,13,Winter,3,
Cypress,TX,harris,2016-01-13,30.0,-95.7,2016,1,13,Winter,1,60.0
San Diego,CA,san diego,2016-01-14,32.7,-117.2,2016,1,14,Winter,20,79.0
Gretna,LA,jefferson,2016-01-15,29.9,-90.1,2016,1,15,Winter,2,44.0
Nipomo,CA,san luis obispo,2016-01-15,35.0,-120.5,2016,1,15,Winter,3,39.0
Houston,TX,fort bend,2016-01-15,29.8,-95.4,2016,1,15,Winter,2,
Houston,TX,harris,2016-01-15,29.8,-95.4,2016,1,15,Winter,86,58.0
Mount Dora,FL,lake,2016-01-16,28.8,-81.6,2016,1,16,Winter,3,41.0
Saint Petersburg,FL,pinellas,2016-01-16,27.8,-82.6,2016,1,16,Winter,78,40.0
Palatka,FL,putnam,2016-01-16,29.7,-81.7,2016,1,16,Winter,1,7.0
New Orleans,LA,orleans,2016-01-16,30.0,-90.1,2016,1,16,Winter,48,45.0
