City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Santa Barbara,CA,santabarbara,2018-01-01,34.4,-119.7,2018,1,1,Winter,70693,58.0,54.360577
Key West,FL,monroe,2018-01-01,24.6,-81.8,2018,1,1,Winter,3300,,
Santa Cruz,CA,santacruz,2018-01-01,37.1,-122.2,2018,1,1,Winter,48000,60.0,51.645833
Pismo Beach,CA,sanluisobispo,2018-01-01,35.2,-120.7,2018,1,1,Winter,24568,70.0,50.170238
Naples,FL,collier,2018-01-01,26.1,-81.8,2018,1,1,Winter,24,75.0,
Big Sur,CA,monterey,2018-01-01,36.2,-121.6,2018,1,1,Winter,78964,63.0,54.583333333333336
Crawfordville,FL,wakulla,2018-01-09,30.2,-84.4,2018,1,9,Winter,6,32.0,64.5
Hilliard,FL,nassau,2018-01-12,30.7,-81.9,2018,1,12,Winter,1,33.0,
San Francisco,CA,sanmateo,2018-01-13,37.8,-122.5,2018,1,13,Winter,2,55.0,
San Francisco,CA,sanfrancisco,2018-01-13,37.8,-122.5,2018,1,13,Winter,10,61.0,
Riceboro,GA,liberty,2018-01-20,31.6,-81.2,2018,1,20,Winter,4,,
Lake Wales,FL,polk,2018-01-23,27.9,-81.6,2018,1,23,Winter,1,38.0,69.166667
Crawfordville,FL,wakulla,2018-01-27,30.1,-84.2,2018,1,27,Winter,6,45.0,62.25
Panacea,FL,wakulla,2018-01-27,30.0,-84.4,2018,1,27,Winter,5,45.0,62.25
Arcadia,FL,desoto,2018-01-31,27.1,-82.0,2018,1,31,Winter,15,,
Desert Hot Springs,CA,riverside,2018-02-01,33.9,-116.5,2018,2,1,Winter,4,73.0,62.73589730769231
Riceboro,GA,liberty,2018-02-01,31.6,-81.2,2018,2,1,Winter,4,,
Half Moon Bay,CA,sanmateo,2018-02-02,37.5,-122.4,2018,2,2,Winter,24,36.0,
Tucson,AZ,pima,2018-02-02,32.2,-110.9,2018,2,2,Winter,19,68.0,61.56597216666666
Westminster,CA,orange,2018-02-02,33.8,-118.0,2018,2,2,Winter,4,85.0,67.25520850000001
