City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Abbeville,LA,VERMILION,2019-03-16,2019,3,16,Spring,6,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2019-09-20,2019,9,20,Fall,3,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2019-11-04,2019,11,4,Fall,3,30.0,-92.1,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2019-03-21,2019,3,21,Spring,7,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2019-03-22,2019,3,22,Spring,7,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2019-09-01,2019,9,1,Fall,7,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2019-09-23,2019,9,23,Fall,14,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2019-10-10,2019,10,10,Fall,700,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2019-10-18,2019,10,18,Fall,35,32.4,-99.8,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2019-08-21,2019,8,21,Summer,4,36.7,-82.0,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2019-11-06,2019,11,6,Fall,4,36.7,-82.0,,,,,,,,,,,,,,,
Abington,PA,MONTGOMERY,2019-08-12,2019,8,12,Summer,3,40.1,-75.1,362.0,262.0,99.0,1.0,0.0,0.0,0.0,129.0,61.0,40.0,0.0,0.0,163.0,199.0,0.0
