City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season,AQI,Temp_Mean
Metairie,LA,jefferson,2021-01-01,30.0,-90.2,2021,1,1,2,Winter,35.0,
Pompano Beach,FL,broward,2021-01-01,26.3,-80.2,2021,1,1,26,Winter,57.0,76.9424998
Fort Lauderdale,FL,broward,2021-01-01,26.1,-80.4,2021,1,1,408,Winter,57.0,76.9424998
Crystal River,FL,citrus,2021-01-01,28.9,-82.6,2021,1,1,1,Winter,51.0,
Naples,FL,collier,2021-01-01,26.2,-81.8,2021,1,1,8,Winter,49.0,
Merritt Island,FL,brevard,2021-01-02,28.4,-80.7,2021,1,2,4,Winter,53.0,73.208333
Coral Springs,FL,broward,2021-01-02,26.3,-80.3,2021,1,2,4,Winter,58.0,75.5308334
Miami,FL,miami-dade,2021-01-02,25.7,-80.3,2021,1,2,68,Winter,46.0,74.56875
Jacksonville,FL,duval,2021-01-02,30.4,-81.7,2021,1,2,22,Winter,55.0,73.408333
Fort Lauderdale,FL,broward,2021-01-02,26.1,-80.4,2021,1,2,68,Winter,58.0,75.5308334
Crystal River,FL,citrus,2021-01-02,28.9,-82.6,2021,1,2,1,Winter,38.0,
Jacksonville,FL,saintjohns,2021-01-02,30.4,-81.7,2021,1,2,4,Winter,,
Galveston,TX,galveston,2021-01-02,29.2,-95.0,2021,1,2,7,Winter,34.0,48.5
Mobile,AL,mobile,2021-01-02,30.6,-88.2,2021,1,2,15,Winter,55.0,
Hialeah,FL,miami-dade,2021-01-03,25.9,-80.3,2021,1,3,7,Winter,44.0,72.8270835
Dickinson,TX,galveston,2021-01-03,29.5,-95.1,2021,1,3,2,Winter,46.0,57.875
Hollywood,FL,broward,2021-01-04,26.0,-80.2,2021,1,4,20,Winter,56.0,67.74583340000001
League City,TX,galveston,2021-01-04,29.5,-95.0,2021,1,4,2,Winter,40.0,62.666667
Panama City Beach,FL,bay,2021-01-04,30.2,-85.8,2021,1,4,10,Winter,36.0,
Slidell,LA,sainttammany,2021-01-04,30.3,-89.7,2021,1,4,2,Winter,,
Sarasota,FL,manatee,2021-01-04,27.3,-82.5,2021,1,4,2,Winter,32.0,
Charleston,SC,charleston,2021-01-04,32.8,-80.0,2021,1,4,11,Winter,42.0,51.095833
Magnolia,TX,montgomery,2021-01-04,30.2,-95.6,2021,1,4,5,Winter,40.0,57.083333
Houston,TX,fortbend,2021-01-04,29.7,-95.4,2021,1,4,1,Winter,,
