City,State/Province,County,Count,Latitude,Longitude
abbeville,LA,VERMILION,18,30.0,-92.2
aberdeen,MS,MONROE,11,33.8,-88.5
aberdeen,NC,MOORE,12,35.0,-79.5
aberdeen,SD,BROWN,9,45.5,-98.5
abilene,TX,TAYLOR,2009,32.4,-99.7
abingdon,VA,WASHINGTON,14,36.7,-82.0
abington,PA,MONTGOMERY,3,40.1,-75.1
abita springs,LA,SAINT TAMMANY,1,30.5,-90.0
absecon,NJ,ATLANTIC,144,39.5,-74.5
acton,MA,MIDDLESEX,33,42.5,-71.5
acton,ME,YORK,3,43.5,-70.9
acushnet,MA,BRISTOL,4,41.7,-70.9
acworth,GA,CHEROKEE,3,34.1,-84.7
acworth,GA,COBB,6,34.1,-84.7
acworth,NH,SULLIVAN,2,43.2,-72.3
ada,MI,KENT,6,43.0,-85.5
ada,OH,HARDIN,1,40.8,-83.8
ada,OK,PONTOTOC,8,34.8,-96.7
adairsville,GA,BARTOW,3,34.3,-85.0
addison,TX,DALLAS,6,33.0,-96.8
adel,GA,COOK,2,31.1,-83.4
adkins,TX,BEXAR,1,29.3,-98.2
adrian,MO,BATES,8,38.4,-94.4
aiken,SC,AIKEN,87,33.5,-81.7
akron,OH,SUMMIT,168,41.1,-81.5
alachua,FL,ALACHUA,2,29.7,-82.4
alameda,CA,ALAMEDA,2,37.8,-122.3
alamogordo,NM,OTERO,4,32.9,-106.0
albany,CA,ALAMEDA,3,37.9,-122.3
albany,GA,DOUGHERTY,888,31.5,-84.4
albert lea,MN,FREEBORN,6,43.6,-93.4
albion,NY,ORLEANS,4,43.3,-78.2
albuquerque,NM,BERNALILLO,780,35.1,-106.6
alburgh,VT,GRAND ISLE,6,45.0,-73.2
alcoa,TN,BLOUNT,1,35.8,-84.0
alexandria,LA,RAPIDES,17,31.3,-92.4
alexandria,VA,ALEXANDRIA CITY,396,38.8,-77.0
alexandria,VA,FAIRFAX,360,38.8,-77.0
algodones,NM,SANDOVAL,8,35.4,-106.5
algonac,MI,SAINT CLAIR,819,42.6,-82.6
allegan,MI,ALLEGAN,2,42.5,-85.9
allen,TX,COLLIN,189,33.1,-96.6
allenton,MI,SAINT CLAIR,25,42.9,-82.9
alliance,OH,STARK,8,40.9,-81.0
allison park,PA,ALLEGHENY,6,40.5,-79.9
alma,MI,GRATIOT,15,43.5,-84.7
alma,WI,BUFFALO,4,44.3,-91.9
alpena,MI,ALPENA,7,45.0,-83.6
alpha,IL,HENRY,1,41.2,-90.4
alpharetta,GA,FULTON,12,34.1,-84.3
alpine,TX,BREWSTER,2,30.2,-103.6
alsip,IL,COOK,12,41.7,-87.7
alstead,NH,CHESHIRE,32,43.2,-72.3
altamonte springs,FL,SEMINOLE,3,28.7,-81.4
alto,MI,KENT,2,42.8,-85.5
alton,IL,MADISON,1,38.9,-90.2
altonah,UT,DUCHESNE,1,40.4,-110.3
altoona,IA,POLK,12,41.7,-93.5
alvin,TX,BRAZORIA,7,29.4,-95.2
amarillo,TX,POTTER,104,35.1,-102.0
amarillo,TX,RANDALL,52,35.1,-102.0
ambler,PA,MONTGOMERY,135,40.2,-75.2
amelia court house,VA,AMELIA,56,37.5,-77.9
american falls,ID,POWER,12,42.7,-113.0
american fork,UT,UTAH,124,40.4,-111.8
ames,IA,STORY,4,42.0,-93.6
amesville,OH,ATHENS,10,39.4,-82.0
amherst,MA,HAMPSHIRE,28,42.4,-72.5
amherst,OH,LORAIN,7,41.4,-82.2
