City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season
Metairie,LA,JEFFERSON,2021-01-01,30.0,-90.2,2021,1,1,2,Winter
Pompano Beach,FL,BROWARD,2021-01-01,26.3,-80.2,2021,1,1,26,Winter
Fort Lauderdale,FL,BROWARD,2021-01-01,26.1,-80.4,2021,1,1,408,Winter
Crystal River,FL,CITRUS,2021-01-01,28.9,-82.6,2021,1,1,1,Winter
Naples,FL,COLLIER,2021-01-01,26.2,-81.8,2021,1,1,8,Winter
Merritt Island,FL,BREVARD,2021-01-02,28.4,-80.7,2021,1,2,4,Winter
Coral Springs,FL,BROWARD,2021-01-02,26.3,-80.3,2021,1,2,4,Winter
Miami,FL,MIAMI-DADE,2021-01-02,25.7,-80.3,2021,1,2,68,Winter
Jacksonville,FL,DUVAL,2021-01-02,30.4,-81.7,2021,1,2,22,Winter
Fort Lauderdale,FL,BROWARD,2021-01-02,26.1,-80.4,2021,1,2,68,Winter
Crystal River,FL,CITRUS,2021-01-02,28.9,-82.6,2021,1,2,1,Winter
Jacksonville,FL,SAINT JOHNS,2021-01-02,30.4,-81.7,2021,1,2,4,Winter
Galveston,TX,GALVESTON,2021-01-02,29.2,-95.0,2021,1,2,7,Winter
Mobile,AL,MOBILE,2021-01-02,30.6,-88.2,2021,1,2,15,Winter
Hialeah,FL,MIAMI-DADE,2021-01-03,25.9,-80.3,2021,1,3,7,Winter
Dickinson,TX,GALVESTON,2021-01-03,29.5,-95.1,2021,1,3,2,Winter
Hollywood,FL,BROWARD,2021-01-04,26.0,-80.2,2021,1,4,20,Winter
League City,TX,GALVESTON,2021-01-04,29.5,-95.0,2021,1,4,2,Winter
Panama City Beach,FL,BAY,2021-01-04,30.2,-85.8,2021,1,4,10,Winter
Slidell,LA,SAINT TAMMANY,2021-01-04,30.3,-89.7,2021,1,4,2,Winter
Sarasota,FL,MANATEE,2021-01-04,27.3,-82.5,2021,1,4,2,Winter
Charleston,SC,CHARLESTON,2021-01-04,32.8,-80.0,2021,1,4,11,Winter
Magnolia,TX,MONTGOMERY,2021-01-04,30.2,-95.6,2021,1,4,5,Winter
Houston,TX,FORT BEND,2021-01-04,29.7,-95.4,2021,1,4,1,Winter
