Town,State/Province,County,Count,Latitude,Longitude,FIPS,Count_Normalized
abbeville,LA,vermilion,18,30.0,-92.2,,0.00020482174484029927
aberdeen,MS,monroe,11,33.8,-88.5,28095.0,0.0001204833793178231
aberdeen,NC,moore,12,35.0,-79.5,37125.0,0.0001325317172496054
aberdeen,SD,brown,9,45.5,-98.5,46013.0,9.638670345425849e-05
abilene,TX,taylor,2009,32.4,-99.7,48441.0,0.02419306256701888
abingdon,VA,washington,14,36.7,-82.0,51191.0,0.00015662839311317005
abington,PA,montgomery,3,40.1,-75.1,42091.0,2.4096675863564622e-05
abita springs,LA,st. tammany,1,30.5,-90.0,,0.0
absecon,NJ,atlantic,144,39.5,-74.5,34001.0,0.0017229123242448704
acton,MA,middlesex,33,42.5,-71.5,25017.0,0.00038554681381703396
acton,ME,york,3,43.5,-70.9,23031.0,2.4096675863564622e-05
acushnet,MA,bristol,4,41.7,-70.9,25005.0,3.614501379534693e-05
acworth,GA,cherokee,3,34.1,-84.7,13057.0,2.4096675863564622e-05
acworth,GA,cobb,6,34.1,-84.7,13067.0,6.024168965891155e-05
acworth,NH,sullivan,2,43.2,-72.3,33019.0,1.2048337931782311e-05
ada,MI,kent,6,43.0,-85.5,26081.0,6.024168965891155e-05
ada,OH,hardin,1,40.8,-83.8,39065.0,0.0
ada,OK,pontotoc,8,34.8,-96.7,40123.0,8.433836552247617e-05
adairsville,GA,bartow,3,34.3,-85.0,13015.0,2.4096675863564622e-05
addison,TX,dallas,6,33.0,-96.8,48113.0,6.024168965891155e-05
adel,GA,cook,2,31.1,-83.4,13075.0,1.2048337931782311e-05
adkins,TX,bexar,1,29.3,-98.2,48029.0,0.0
adrian,MO,bates,8,38.4,-94.4,29013.0,8.433836552247617e-05
aiken,SC,aiken,87,33.5,-81.7,45003.0,0.0010361570621332788
akron,OH,summit,168,41.1,-81.5,39153.0,0.002012072434607646
alachua,FL,alachua,2,29.7,-82.4,12001.0,1.2048337931782311e-05
alameda,CA,alameda,2,37.8,-122.3,6001.0,1.2048337931782311e-05
alamogordo,NM,otero,4,32.9,-106.0,35035.0,3.614501379534693e-05
albany,CA,alameda,3,37.9,-122.3,6001.0,2.4096675863564622e-05
albany,GA,dougherty,888,31.5,-84.4,13095.0,0.010686875745490909
albert lea,MN,freeborn,6,43.6,-93.4,27047.0,6.024168965891155e-05
albion,NY,orleans,4,43.3,-78.2,36073.0,3.614501379534693e-05
albuquerque,NM,bernalillo,780,35.1,-106.6,35001.0,0.00938565524885842
alburgh,VT,grand isle,6,45.0,-73.2,50013.0,6.024168965891155e-05
alcoa,TN,blount,1,35.8,-84.0,47009.0,0.0
alexandria,LA,rapides,17,31.3,-92.4,,0.00019277340690851698
alexandria,VA,alexandria city,396,38.8,-77.0,51510.0,0.004759093483054012
alexandria,VA,fairfax,360,38.8,-77.0,51059.0,0.00432535331750985
algodones,NM,sandoval,8,35.4,-106.5,35043.0,8.433836552247617e-05
algonac,MI,st. clair,819,42.6,-82.6,26147.0,0.00985554042819793
allegan,MI,allegan,2,42.5,-85.9,26005.0,1.2048337931782311e-05
allen,TX,collin,189,33.1,-96.6,48085.0,0.0022650875311750742
allenton,MI,st. clair,25,42.9,-82.9,26147.0,0.00028916011036277545
alliance,OH,stark,8,40.9,-81.0,39151.0,8.433836552247617e-05
allison park,PA,allegheny,6,40.5,-79.9,42003.0,6.024168965891155e-05
alma,MI,gratiot,15,43.5,-84.7,26057.0,0.00016867673104495234
alma,WI,buffalo,4,44.3,-91.9,55011.0,3.614501379534693e-05
alpena,MI,alpena,7,45.0,-83.6,26007.0,7.229002759069386e-05
alpha,IL,henry,1,41.2,-90.4,17073.0,0.0
alpharetta,GA,fulton,12,34.1,-84.3,13121.0,0.0001325317172496054
alpine,TX,brewster,2,30.2,-103.6,48043.0,1.2048337931782311e-05
alsip,IL,cook,12,41.7,-87.7,17031.0,0.0001325317172496054
alstead,NH,cheshire,32,43.2,-72.3,33005.0,0.0003734984758852516
altamonte springs,FL,seminole,3,28.7,-81.4,12117.0,2.4096675863564622e-05
alto,MI,kent,2,42.8,-85.5,26081.0,1.2048337931782311e-05
alton,IL,madison,1,38.9,-90.2,17119.0,0.0
altonah,UT,duchesne,1,40.4,-110.3,49013.0,0.0
altoona,IA,polk,12,41.7,-93.5,19153.0,0.0001325317172496054
alvin,TX,brazoria,7,29.4,-95.2,48039.0,7.229002759069386e-05
amarillo,TX,potter,104,35.1,-102.0,48375.0,0.001240978806973578
amarillo,TX,randall,52,35.1,-102.0,48381.0,0.0006144652345208978
ambler,PA,montgomery,135,40.2,-75.2,42091.0,0.0016144772828588297
amelia court house,VA,amelia,56,37.5,-77.9,51007.0,0.0006626585862480271
american falls,ID,power,12,42.7,-113.0,16077.0,0.0001325317172496054
american fork,UT,utah,124,40.4,-111.8,49049.0,0.0014819455656092243
ames,IA,story,4,42.0,-93.6,19169.0,3.614501379534693e-05
amesville,OH,athens,10,39.4,-82.0,39009.0,0.0001084350413860408
amherst,MA,hampshire,28,42.4,-72.5,25015.0,0.0003253051241581224
amherst,OH,lorain,7,41.4,-82.2,39093.0,7.229002759069386e-05
amherst,VA,amherst,28,37.6,-79.0,,0.0003253051241581224
amistad,NM,union,3,35.9,-103.2,35059.0,2.4096675863564622e-05
anadarko,OK,caddo,2,35.1,-98.2,40015.0,1.2048337931782311e-05
anaheim,CA,orange,35,33.9,-117.7,6059.0,0.00040964348968059854
anderson,SC,anderson,2,34.5,-82.8,45007.0,1.2048337931782311e-05
andover,MN,anoka,5,45.3,-93.3,27003.0,4.8193351727129245e-05
andover,NH,merrimack,1,43.4,-71.8,33013.0,0.0
angleton,TX,brazoria,28,29.2,-95.4,48039.0,0.0003253051241581224
angola,NY,erie,30,42.6,-79.1,36029.0,0.000349401800021687
ann arbor,MI,washtenaw,66,42.2,-83.7,26161.0,0.0007831419655658502
anna,TX,collin,17,33.3,-96.6,48085.0,0.00019277340690851698
annandale,VA,fairfax,6,38.8,-77.2,51059.0,6.024168965891155e-05
annapolis,MD,anne arundel,1440,38.9,-76.5,24003.0,0.017337558283834743
anoka,MN,anoka,10,45.3,-93.4,27003.0,0.0001084350413860408
anson,TX,jones,40,32.8,-99.9,48253.0,0.0004698851793395101
ansonia,CT,new haven,5,41.3,-73.1,9009.0,4.8193351727129245e-05
antioch,IL,lake,174,42.4,-88.1,17097.0,0.0020843624621983397
antwerp,OH,paulding,3,41.2,-84.7,39125.0,2.4096675863564622e-05
apalachicola,FL,franklin,2,29.7,-85.0,12037.0,1.2048337931782311e-05
apex,NC,wake,68,35.7,-78.8,37183.0,0.0008072386414294148
apollo beach,FL,hillsborough,18,27.8,-82.4,12057.0,0.00020482174484029927
apopka,FL,orange,3,28.7,-81.5,12095.0,2.4096675863564622e-05
appleton,WI,outagamie,20,44.3,-88.4,55087.0,0.0002289184207038639
aptos,CA,santa cruz,4,37.0,-121.9,6087.0,3.614501379534693e-05
aransas pass,TX,san patricio,32,27.9,-97.2,48409.0,0.0003734984758852516
arcade,NY,wyoming,3,42.5,-78.5,36121.0,2.4096675863564622e-05
arcadia,CA,los angeles,1,34.1,-118.1,6037.0,0.0
arcadia,FL,desoto,30,27.3,-81.9,12027.0,0.000349401800021687
archer,FL,alachua,1,29.5,-82.5,12001.0,0.0
arden,NC,buncombe,216,35.5,-82.6,37021.0,0.002590392655333197
arena,WI,iowa,3,43.2,-90.0,55049.0,2.4096675863564622e-05
argyle,TX,denton,10,33.1,-97.1,48121.0,0.0001084350413860408
arlington,MA,middlesex,15,42.4,-71.2,25017.0,0.00016867673104495234
arlington,TX,tarrant,720,32.6,-97.2,48439.0,0.008662754972951481
arlington,VA,arlington,221,38.9,-77.1,51013.0,0.0026506343449921085
arlington heights,IL,cook,32,42.1,-88.0,17031.0,0.0003734984758852516
armonk,NY,westchester,2,41.1,-73.7,36119.0,1.2048337931782311e-05
arnaudville,LA,st. landry,3,30.4,-91.9,,2.4096675863564622e-05
arnold,MD,anne arundel,2,39.1,-76.5,24003.0,1.2048337931782311e-05
arroyo grande,CA,san luis obispo,14,35.1,-120.6,6079.0,0.00015662839311317005
arroyo hondo,NM,taos,1,36.5,-105.7,35055.0,0.0
arvada,CO,jefferson,10,39.8,-105.1,8059.0,0.0001084350413860408
asbury park,NJ,monmouth,168,40.2,-74.0,34025.0,0.002012072434607646
ash grove,MO,greene,12,37.4,-93.6,29077.0,0.0001325317172496054
ashburn,VA,loudoun,78,39.0,-77.5,51107.0,0.0009277220207472379
asheboro,NC,randolph,5,35.6,-79.8,37151.0,4.8193351727129245e-05
asheville,NC,buncombe,1773,35.6,-82.6,37021.0,0.021349654815118253
ashfield,MA,franklin,2,42.5,-72.8,25011.0,1.2048337931782311e-05
ashippun,WI,dodge,2,43.2,-88.5,55027.0,1.2048337931782311e-05
ashland,KY,boyd,132,38.4,-82.6,21019.0,0.0015783322690634826
ashland,MA,middlesex,2,42.3,-71.5,25017.0,1.2048337931782311e-05
ashland,MO,boone,2,38.8,-92.3,29019.0,1.2048337931782311e-05
ashland,WI,ashland,30,46.6,-90.9,55003.0,0.000349401800021687
atchison,KS,atchison,12,39.6,-95.1,20005.0,0.0001325317172496054
atco,NJ,camden,12,39.8,-74.9,34007.0,0.0001325317172496054
athens,AL,limestone,3,34.9,-86.8,1083.0,2.4096675863564622e-05
athens,GA,clarke,156,33.9,-83.4,13059.0,0.001867492379426258
athens,OH,athens,2,39.3,-82.1,39009.0,1.2048337931782311e-05
athens,TX,henderson,14,32.2,-95.9,48213.0,0.00015662839311317005
athol,MA,worcester,6,42.6,-72.2,25027.0,6.024168965891155e-05
atkinson,NE,holt,3,42.5,-99.0,31089.0,2.4096675863564622e-05
atlanta,GA,cobb,608,33.9,-84.3,13067.0,0.007313341124591863
atlanta,GA,dekalb,1292,33.9,-84.3,13089.0,0.015554404269930964
atlanta,GA,fulton,2204,33.9,-84.3,13121.0,0.02654248846371643
atlanta,TX,cass,60,33.1,-94.2,48067.0,0.0007108519379751563
