City,State/Province,County,Count,Latitude,Longitude
Savannah,GA,CHATHAM,1,32.1,-81.1
Needville,TX,FORT BEND,1,29.4,-95.6
Port O'Connor,TX,,1,28.5,-96.4
Umatilla,FL,LAKE,2,29.0,-81.7
Pearland,TX,BRAZORIA,4,29.5,-95.4
Phoenix,AZ,MARICOPA,3,33.5,-112.0
Port Lavaca,TX,CALHOUN,2,28.5,-96.4
Round Rock,TX,WILLIAMSON,1,30.5,-97.7
Stonewall,TX,GILLESPIE,2,30.2,-98.5
San Antonio,TX,BEXAR,1,29.5,-98.5
San Antonio,TX,COMAL,1,29.5,-98.5
New Ringgold,PA,SCHUYLKILL,0,40.6,-76.0
Mesa,AZ,MARICOPA,1,33.4,-111.7
El Segundo,CA,LOS ANGELES,3,33.9,-118.4
Okaloosa Island,FL,,1,30.4,-86.6
San Leandro,CA,ALAMEDA,1,37.7,-122.1
Austin,TX,TRAVIS,2,30.4,-97.7
Austin,TX,WILLIAMSON,2,30.4,-97.7
Austin,TX,HAYS,2,30.4,-97.7
Boerne,TX,KENDALL,1,29.8,-98.7
Phoenix,AZ,MARICOPA,1,33.5,-112.0
Fulton,TX,ARANSAS,5,28.1,-97.0
Canyon Lake,TX,COMAL,1,29.9,-98.2
Weedhaven,TX,,1,28.7,-96.4
Ramona,CA,SAN DIEGO,1,33.0,-116.8
Augusta,GA,RICHMOND,1,33.5,-82.0
Augusta,GA,COLUMBIA,1,33.5,-82.0
Parrish,FL,MANATEE,4,27.6,-82.5
Austwell,TX,REFUGIO,1,28.3,-96.8
Summerfield,FL,MARION,2,29.0,-82.0
Palmarejo,PR,,4,18.3,-66.3
San Antonio,TX,BEXAR,1,29.6,-98.4
San Antonio,TX,COMAL,1,29.6,-98.4
Rockport,TX,ARANSAS,1,28.1,-97.0
Palmarejo,PR,,3,18.3,-66.3
Highlands,TX,HARRIS,1,29.8,-95.1
Corpus Christi,TX,NUECES,2,27.7,-97.4
