Town,State/Province,County,Count,Latitude,Longitude
Abilene,TX,TAYLOR,14,32.4,-99.7
Ada,OK,PONTOTOC,36,34.8,-96.7
Akron,OH,SUMMIT,42,41.1,-81.5
Alamo,NV,LINCOLN,12,37.2,-115.1
Albany,NY,ALBANY,46,42.6,-73.8
Albert Lea,MN,FREEBORN,3,43.7,-93.2
Albuquerque,NM,BERNALILLO,15,35.1,-106.6
Alexander,NC,BUNCOMBE,5,35.7,-82.6
Allen,TX,COLLIN,24,33.1,-96.6
Allenton,MI,SAINT CLAIR,10,42.9,-82.9
Alpharetta,GA,FULTON,18,34.1,-84.3
Alto,MI,KENT,1,42.8,-85.4
Alvin,TX,BRAZORIA,3,29.4,-95.2
Amherst,VA,AMHERST,16,37.6,-79.1
Amherst,WI,PORTAGE,1,44.4,-89.3
Anderson,SC,ANDERSON,6,34.5,-82.8
Andover,MN,ANOKA,5,45.2,-93.3
Angier,NC,HARNETT,1,35.5,-78.7
Angleton,TX,BRAZORIA,7,29.2,-95.4
Ann Arbor,MI,WASHTENAW,11,42.3,-83.8
Annapolis,MD,ANNE ARUNDEL,60,38.9,-76.5
Ansonia,CT,NEW HAVEN,1,41.3,-73.1
Apalachicola,FL,FRANKLIN,3,29.7,-85.0
Apex,NC,WAKE,4,35.8,-78.9
Arcade,NY,WYOMING,6,42.5,-78.4
Archbald,PA,LACKAWANNA,2,41.5,-75.6
Arden,NC,BUNCOMBE,100,35.5,-82.5
Ardmore,OK,CARTER,3,34.1,-97.1
Arlington,KS,RENO,2,37.9,-98.2
Arlington,TX,TARRANT,54,32.6,-97.1
Arlington,VA,ARLINGTON,51,38.9,-77.1
Arlington Heights,IL,COOK,4,42.1,-88.0
Arnold,MD,ANNE ARUNDEL,1,39.1,-76.5
Arvada,CO,JEFFERSON,2,39.8,-105.2
Ash Grove,MO,GREENE,4,37.4,-93.6
Asheville,NC,BUNCOMBE,252,35.6,-82.6
Ashland,KY,BOYD,228,38.4,-82.6
Athens,GA,CLARKE,3,33.9,-83.4
Atkinson,NE,HOLT,1,42.5,-99.0
Atlanta,GA,COBB,240,33.8,-84.4
Atlanta,GA,DEKALB,510,33.8,-84.4
Atlanta,GA,FULTON,870,33.8,-84.4
Auburn,AL,LEE,2,32.6,-85.5
Auburn,MA,WORCESTER,1,42.2,-71.8
Auburn,NH,ROCKINGHAM,1,43.0,-71.3
Augusta,GA,COLUMBIA,2,33.5,-82.0
Augusta,GA,RICHMOND,4,33.5,-82.0
Aulander,NC,BERTIE,2,36.3,-77.3
Aurora,CO,ADAMS,5,39.7,-104.8
Aurora,CO,ARAPAHOE,4,39.7,-104.8
