Number,Date,City,State,Latitude,Longitude,Count
1,07/30/24,Salisbury,MA,42.8,-70.9,1
2,07/30/24,Lenhartsville,PA,40.6,-75.9,1
3,07/30/24,Merrick,NY,40.6,-73.5,1
4,07/30/24,Burnsville,NC,35.8,-82.2,1
5,07/30/24,Northport,NY,40.9,-73.3,1
6,07/30/24,Cochise,AZ,32.1,-109.9,1
7,07/30/24,Eau Claire,WI,44.8,-91.5,0
8,07/30/24,Berkeley,CA,37.9,-122.3,1
9,07/30/24,KCMO,MO,39.2,-94.5,1
10,07/30/24,Eau Claire,WI,44.8,-91.5,1
11,07/30/24,Versailles,KY,38,-84.7,1
12,07/30/24,Bradford West Gwillimbury,ON,44.1,-79.7,1
13,07/30/24,Lewisburg,PA,41,-76.9,1
14,07/30/24,Lewisburg,PA,41,-76.9,1
15,07/29/24,Falls Church,VA,38.9,-77.2,1
16,07/29/24,Bucyrus,OH,40.8,-83,1
17,07/29/24,Flat Rock,MI,42.1,-83.3,0
18,07/29/24,Grand Rapids,MI,42.9,-85.6,1
19,07/29/24,Avondale,PA,39.8,-75.8,1
20,07/29/24,North Fort Myers,FL,26.7,-81.9,1
21,07/29/24,Crofton,MD,39,-76.7,1
22,07/29/24,Kaysville,UT,41,-111.9,1
23,07/29/24,McKinleyville,CA,41,-124.1,1
24,07/29/24,Brockport,NY,43.2,-77.9,1
25,07/28/24,North Bay,ON,46.3,-79.5,1
26,07/28/24,L'Amable,ON,45,-77.8,1
27,07/28/24,Broomfield,CO,39.9,-105.1,1
28,07/28/24,Kingston,ON,44.2,-76.4,1
29,07/28/24,Minneapolis,MN,45,-93.3,1
30,07/28/24,Batavia,IL,41.8,-88.3,1
31,07/28/24,West Union,OH,38.8,-83.6,4
32,07/28/24,Balderson,ON,44.9,-76.5,4
33,07/28/24,Bettendorf,IA,41.6,-90.5,1
34,07/28/24,Delphos,OH,40.9,-84.3,1
35,07/28/24,Nether Providence Township,PA,39.9,-75.4,2
36,07/27/24,Beverly,MA,42.6,-70.9,1
37,07/27/24,Windsor,NS,44.9,-64.2,1
38,07/27/24,Catonsville,MD,39.3,-76.8,1
39,07/27/24,Durham,NH,43.1,-70.9,1
40,07/27/24,Elmhurst,IL,41.9,-88,1
41,07/27/24,Middle Township,NJ,39.1,-74.8,2
42,07/27/24,Port Ewen,NY,41.9,-74,1
43,07/27/24,Port Ewen,NY,41.9,-74,1
44,07/27/24,Dorset,ON,45.2,-78.9,1
45,07/27/24,Severn,ON,44.7,-79.6,1
46,07/27/24,Seymour,CT,41.4,-73.1,0
47,07/27/24,Regina,SK,50.4,-104.6,1
48,07/27/24,Halifax,PA,40.4,-77,0
49,07/27/24,South Portland,ME,43.6,-70.2,2
50,07/27/24,Lewes,DE,38.7,-75.2,1
51,07/27/24,Ballston Lake,NY,42.9,-73.8,1
52,07/27/24,Blacksburg,VA,37.3,-80.4,1
53,07/27/24,Tupper Lake,NY,44.2,-74.5,1
54,07/27/24,London,ON,43,-81.2,1
55,07/27/24,Avon,OH,41.4,-82,1
56,07/27/24,Toronto,ON,43.6,-79.4,1
57,07/27/24,Klamath Falls,OR,42.3,-121.8,1
58,07/27/24,Cantley,QC,45.6,-75.9,2
59,07/27/24,Bowmanville,ON,43.9,-78.7,2
60,07/27/24,Bowmanville,ON,43.9,-78.7,1
61,07/27/24,Farmington,MI,42.5,-83.4,1
62,07/27/24,Hudson,NC,35.8,-81.5,1
63,07/27/24,Bowmanville,ON,43.9,-78.7,1
64,07/27/24,Pasco,WA,46.3,-119.2,1
