city,state,county,count,FIPS,cleaned_county
Abilene,TX,TAYLOR,1,48441,TAYLOR
Ada,MN,NORMAN,1,27107,NORMAN
Ada,OK,PONTOTOC,5,40123,PONTOTOC
Adel,IA,DALLAS,1,19049,DALLAS
Aiken,SC,AIKEN,3,45003,AIKEN
Aitkin,MN,AITKIN,1,27001,AITKIN
Akron,IA,PLYMOUTH,1,19149,PLYMOUTH
Akron,OH,SUMMIT,1,39153,SUMMIT
Alameda,CA,ALAMEDA,1,6001,ALAMEDA
Alamo,CA,CONTRA COSTA,1,6013,CONTRA COSTA
Albany,NY,ALBANY,1,36001,ALBANY
Albertville,MN,WRIGHT,1,27171,WRIGHT
Albion,IN,NOBLE,1,18113,NOBLE
Alcoa,TN,BLOUNT,1,47009,BLOUNT
Alexander,NC,BUNCOMBE,1,37021,BUNCOMBE
Alexandria,MN,DOUGLAS,1,27041,DOUGLAS
Alexandria,VA,ALEXANDRIA CITY,1,51510,ALEXANDRIA CITY
Algona,IA,KOSSUTH,1,19109,KOSSUTH
Allen,TX,COLLIN,3,48085,COLLIN
Allenton,MI,ST. CLAIR,1,26147,ST. CLAIR
Alsip,IL,COOK,1,17031,COOK
Altonah,UT,DUCHESNE,2,49013,DUCHESNE
Ames,IA,STORY,1,19169,STORY
Andover,MN,ANOKA,2,27003,ANOKA
Ankeny,IA,POLK,1,19153,POLK
Ann Arbor,MI,WASHTENAW,6,26161,WASHTENAW
Anna,TX,COLLIN,1,48085,COLLIN
Annapolis,MD,ANNE ARUNDEL,4,24003,ANNE ARUNDEL
Antioch,IL,LAKE,5,17097,LAKE
Apex,NC,WAKE,1,37183,WAKE
Appleton,WI,OUTAGAMIE,3,55087,OUTAGAMIE
Aquasco,MD,PRINCE GEORGES,2,,
Arden,NC,BUNCOMBE,1,37021,BUNCOMBE
Arlington,TX,TARRANT,1,48439,TARRANT
Arlington,WI,COLUMBIA,1,55021,COLUMBIA
Arnold,MD,ANNE ARUNDEL,1,24003,ANNE ARUNDEL
Arvada,CO,JEFFERSON,1,8059,JEFFERSON
Asbury Park,NJ,MONMOUTH,1,34025,MONMOUTH
Asheboro,NC,RANDOLPH,1,37151,RANDOLPH
