City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
Oldsmar,FL,pinellas,2010-01-01,28.0,-82.7,2010,1,1,Winter,1,45.0
New Orleans,LA,orleans,2010-01-07,30.0,-90.1,2010,1,7,Winter,48,30.0
New Orleans,LA,jefferson,2010-01-07,30.0,-90.1,2010,1,7,Winter,12,36.0
Big Sur,CA,monterey,2010-01-08,36.2,-121.6,2010,1,8,Winter,4,36.0
San Luis Obispo,CA,san luis obispo,2010-01-08,35.2,-120.6,2010,1,8,Winter,7,53.0
Mount Pleasant,SC,charleston,2010-01-09,32.8,-79.8,2010,1,9,Winter,2,63.0
Folly Beach,SC,charleston,2010-01-09,32.7,-80.0,2010,1,9,Winter,1,63.0
Huntington Beach,CA,orange,2010-01-19,33.7,-118.0,2010,1,19,Winter,4,54.0
Big Sur,CA,monterey,2010-01-21,36.2,-121.6,2010,1,21,Winter,4,35.0
Clearwater,FL,pinellas,2010-01-21,28.0,-82.8,2010,1,21,Winter,3,58.0
San Luis Obispo,CA,san luis obispo,2010-01-21,35.2,-120.6,2010,1,21,Winter,7,44.0
Homestead,FL,miami-dade,2010-01-23,25.5,-80.5,2010,1,23,Winter,12,57.0
Palm Harbor,FL,pinellas,2010-01-25,28.1,-82.8,2010,1,25,Winter,1,46.0
Corpus Christi,TX,nueces,2010-01-25,27.8,-97.4,2010,1,25,Winter,5,38.0
Cypress,TX,harris,2010-01-26,30.0,-95.7,2010,1,26,Winter,1,67.0
League City,TX,galveston,2010-01-28,29.5,-95.1,2010,1,28,Winter,1,44.0
Big Sur,CA,monterey,2010-02-01,36.2,-121.6,2010,2,1,Winter,4,33.0
San Luis Obispo,CA,san luis obispo,2010-02-01,35.2,-120.6,2010,2,1,Winter,7,63.0
Punta Gorda,FL,charlotte,2010-02-04,26.9,-82.1,2010,2,4,Winter,3,
Gretna,LA,jefferson,2010-02-04,29.9,-90.0,2010,2,4,Winter,2,54.0
Port Charlotte,FL,charlotte,2010-02-05,27.0,-82.1,2010,2,5,Winter,3,
Port Lavaca,TX,calhoun,2010-02-05,28.5,-96.7,2010,2,5,Winter,10,
Cocoa Beach,FL,brevard,2010-02-10,28.3,-80.6,2010,2,10,Winter,1,39.0
San Luis Obispo,CA,san luis obispo,2010-02-14,35.2,-120.6,2010,2,14,Winter,7,64.0
Big Sur,CA,monterey,2010-02-14,36.2,-121.6,2010,2,14,Winter,4,55.0
El Reno,OK,canadian,2010-02-17,35.5,-98.0,2010,2,17,Winter,3,36.0
San Luis Obispo,CA,san luis obispo,2010-02-22,35.2,-120.6,2010,2,22,Winter,7,36.0
Big Sur,CA,monterey,2010-02-22,36.2,-121.6,2010,2,22,Winter,4,33.0
Palm Harbor,FL,pinellas,2010-02-25,28.1,-82.8,2010,2,25,Winter,1,44.0
Metairie,LA,jefferson,2010-02-25,30.0,-90.2,2010,2,25,Winter,2,44.0
Coral Gables,FL,miami-dade,2010-02-26,25.8,-80.3,2010,2,26,Winter,2,50.0
Kissimmee,FL,osceola,2010-02-28,28.3,-81.4,2010,2,28,Winter,5,45.0
Kissimmee,FL,polk,2010-02-28,28.3,-81.4,2010,2,28,Winter,2,53.0
Savannah,GA,chatham,2010-02-28,32.1,-81.1,2010,2,28,Winter,10,47.0
Port Saint Lucie,FL,saint lucie,2010-03-07,27.3,-80.3,2010,3,7,Spring,5,
Huntington Beach,CA,orange,2010-03-12,33.7,-118.0,2010,3,12,Spring,4,57.0
Fargo,ND,cass,2010-05-10,46.9,-96.8,2010,5,10,Spring,11,64.0
Colorado Springs,CO,el paso,2010-05-18,38.8,-104.8,2010,5,18,Spring,36,46.0
Redford,MI,wayne,2010-05-30,42.4,-83.3,2010,5,30,Spring,3,93.0
Overland Park,KS,johnson,2010-06-24,39.0,-94.7,2010,6,24,Summer,12,105.0
Pahrump,NV,nye,2010-07-06,36.3,-115.8,2010,7,6,Summer,3,34.0
Jackson,NJ,ocean,2010-07-18,40.1,-74.4,2010,7,18,Summer,3,80.0
Collegeville,PA,montgomery,2010-07-25,40.2,-75.4,2010,7,25,Summer,4,44.0
Independence,MO,jackson,2010-07-25,39.1,-94.4,2010,7,25,Summer,2,40.0
Sedalia,MO,pettis,2010-07-25,38.7,-93.3,2010,7,25,Summer,5,
sterling heights,MI,macomb,2010-08-01,42.6,-83.1,2010,8,1,Summer,3,54.0
Ruidoso,NM,lincoln,2010-08-01,33.4,-105.7,2010,8,1,Summer,4,
Sylva,NC,jackson,2010-08-02,34.4,-84.9,2010,8,2,Summer,1,36.0
Damariscotta,ME,lincoln,2010-08-02,44.0,-69.5,2010,8,2,Summer,1,
Atlanta,GA,fulton,2010-08-03,33.8,-84.4,2010,8,3,Summer,29,87.0
Atlanta,GA,cobb,2010-08-03,33.8,-84.4,2010,8,3,Summer,8,115.0
Atlanta,GA,dekalb,2010-08-03,33.8,-84.4,2010,8,3,Summer,17,77.0
Silver Spring,MD,montgomery,2010-08-03,39.0,-77.0,2010,8,3,Summer,13,56.0
Dover,DE,kent,2010-08-03,39.2,-75.6,2010,8,3,Summer,2,39.0
Vincentown,NJ,burlington,2010-08-04,39.8,-74.6,2010,8,4,Summer,5,
Whitinsville,MA,worcester,2010-08-05,42.1,-71.7,2010,8,5,Summer,1,70.0
Hauppauge,NY,suffolk,2010-08-06,40.8,-73.2,2010,8,6,Summer,2,71.0
Whitinsville,MA,worcester,2010-08-06,42.1,-71.7,2010,8,6,Summer,1,56.0
Ponca City,OK,kay,2010-08-06,36.7,-97.1,2010,8,6,Summer,2,56.0
Leavenworth,KS,leavenworth,2010-08-06,39.3,-95.0,2010,8,6,Summer,1,84.0
Bayville,NJ,ocean,2010-08-06,39.9,-74.2,2010,8,6,Summer,3,64.0
Colorado Springs,CO,el paso,2010-08-07,38.8,-104.8,2010,8,7,Summer,36,67.0
Ruckersville,VA,greene,2010-08-07,38.2,-78.4,2010,8,7,Summer,2,
Omaha,NE,sarpy,2010-08-07,41.3,-95.9,2010,8,7,Summer,4,
Carmel,NY,putnam,2010-08-07,41.4,-73.7,2010,8,7,Summer,4,47.0
Montour Falls,NY,schuyler,2010-08-07,42.3,-76.8,2010,8,7,Summer,1,
Gainesville,FL,alachua,2010-08-07,29.6,-82.4,2010,8,7,Summer,4,26.0
Brookfield,WI,waukesha,2010-08-07,43.1,-88.1,2010,8,7,Summer,1,41.0
Concord,MA,middlesex,2010-08-07,42.5,-71.4,2010,8,7,Summer,3,37.0
Kansas City,MO,platte,2010-08-07,39.1,-94.6,2010,8,7,Summer,10,
Omaha,NE,douglas,2010-08-07,41.3,-95.9,2010,8,7,Summer,19,63.0
Jackson,NJ,ocean,2010-08-07,40.1,-74.4,2010,8,7,Summer,3,51.0
Kansas City,MO,jackson,2010-08-07,39.1,-94.6,2010,8,7,Summer,13,62.0
Kansas City,MO,clay,2010-08-07,39.1,-94.6,2010,8,7,Summer,21,74.0
Winchester,VA,winchester city,2010-08-08,39.2,-78.2,2010,8,8,Summer,1,
Winchester,VA,frederick,2010-08-08,39.2,-78.2,2010,8,8,Summer,2,54.0
Graham,TX,young,2010-08-08,33.1,-98.6,2010,8,8,Summer,1,
Sterling heights,MI,macomb,2010-08-08,42.6,-83.1,2010,8,8,Summer,3,54.0
Whitinsville,MA,worcester,2010-08-08,42.1,-71.7,2010,8,8,Summer,1,58.0
Roanoke,VA,roanoke city,2010-08-08,37.3,-79.9,2010,8,8,Summer,9,81.0
Roanoke,VA,roanoke,2010-08-08,37.3,-79.9,2010,8,8,Summer,6,58.0
Roanoke,VA,botetourt,2010-08-08,37.3,-79.9,2010,8,8,Summer,2,
Roanoke,VA,salem,2010-08-08,37.3,-79.9,2010,8,8,Summer,2,
lubbock,TX,lubbock,2010-08-09,33.6,-101.9,2010,8,9,Summer,6,36.0
Clarksville,TN,montgomery,2010-08-09,36.5,-87.3,2010,8,9,Summer,6,
Whitinsville,MA,worcester,2010-08-09,42.1,-71.7,2010,8,9,Summer,1,126.0
Port Jefferson Station,NY,suffolk,2010-08-09,40.9,-73.1,2010,8,9,Summer,5,77.0
Kansas City,MO,jackson,2010-08-09,39.1,-94.6,2010,8,9,Summer,13,57.0
Kansas City,MO,clay,2010-08-09,39.1,-94.6,2010,8,9,Summer,21,97.0
Charlotte,VT,chittenden,2010-08-09,44.3,-73.2,2010,8,9,Summer,2,61.0
Winfield,MO,lincoln,2010-08-09,39.0,-90.8,2010,8,9,Summer,1,61.0
Kansas City,MO,platte,2010-08-09,39.1,-94.6,2010,8,9,Summer,10,
wolfeboro,NH,carroll,2010-08-09,43.6,-71.2,2010,8,9,Summer,2,
Davidsonville,MD,anne arundel,2010-08-09,39.0,-76.7,2010,8,9,Summer,1,84.0
huntington station,NY,suffolk,2010-08-10,40.8,-73.4,2010,8,10,Summer,6,136.0
Whitinsville,MA,worcester,2010-08-10,42.1,-71.7,2010,8,10,Summer,1,69.0
Budd Lake,NJ,morris,2010-08-10,40.9,-74.8,2010,8,10,Summer,2,90.0
Moorestown,NJ,burlington,2010-08-10,40.0,-74.9,2010,8,10,Summer,2,
Warren,ME,knox,2010-08-11,44.1,-69.2,2010,8,11,Summer,1,29.0
Camden,ME,knox,2010-08-11,44.2,-69.1,2010,8,11,Summer,1,29.0
Diller,NE,jefferson,2010-08-11,40.1,-97.0,2010,8,11,Summer,1,
Saranac Lake,NY,franklin,2010-08-11,44.3,-74.1,2010,8,11,Summer,3,16.0
Vincentown,NJ,burlington,2010-08-11,39.8,-74.6,2010,8,11,Summer,5,
Silver Spring,MD,montgomery,2010-08-11,39.0,-77.0,2010,8,11,Summer,13,97.0
Sag Harbor,NY,suffolk,2010-08-11,41.0,-72.3,2010,8,11,Summer,5,84.0
New Haven,CT,new haven,2010-08-11,41.3,-72.9,2010,8,11,Summer,9,63.0
