Town,State/Province,County,Count,Latitude,Longitude,FIPS
abbeville,LA,vermilion,12,30.0,-92.1,
abilene,TX,taylor,1190,32.3,-99.7,48441.0
abingdon,VA,washington,8,36.7,-82.0,51191.0
abington,MA,plymouth,2,42.1,-70.9,25023.0
absecon,NJ,atlantic,288,39.5,-74.5,34001.0
acton,MA,middlesex,27,42.5,-71.4,25017.0
acworth,NH,sullivan,11,43.2,-72.3,33019.0
ada,MI,kent,58,43.0,-85.5,26081.0
ada,OK,pontotoc,4,34.8,-96.7,40123.0
adairsville,GA,bartow,9,34.4,-84.9,13015.0
adams,MA,berkshire,1,42.6,-73.2,25003.0
adams,NE,gage,4,40.5,-96.6,31067.0
adams,WI,adams,1,43.8,-89.8,55001.0
adamsville,OH,muskingum,5,40.1,-81.9,39119.0
adkins,TX,bexar,2,29.3,-98.2,48029.0
adrian,MI,lenawee,4,41.9,-84.0,26091.0
advance,NC,davie,12,36.0,-80.4,37059.0
afton,MN,washington,1,44.9,-92.8,27163.0
aiken,SC,aiken,36,33.6,-81.7,45003.0
alabaster,AL,shelby,1,33.2,-86.8,1117.0
alameda,CA,alameda,12,37.8,-122.3,6001.0
albany,CA,alameda,18,37.9,-122.3,6001.0
albany,GA,dougherty,8,31.5,-84.4,13095.0
albany,NY,albany,46,42.7,-73.8,36001.0
albuquerque,NM,bernalillo,120,35.1,-106.5,35001.0
alderson,WV,monroe,4,37.7,-80.7,54063.0
alexandria,VA,alexandria city,88,38.8,-77.1,51510.0
alexandria,VA,fairfax,80,38.8,-77.1,51059.0
alfred station,NY,allegany,2,42.2,-77.8,36003.0
alleman,IA,polk,1,41.8,-93.6,19153.0
allen,TX,collin,27,33.1,-96.7,48085.0
allen park,MI,wayne,20,42.2,-83.2,26163.0
allenton,WI,washington,94,43.4,-88.4,55131.0
allentown,NJ,monmouth,4,40.2,-74.5,34025.0
allentown,PA,lehigh,6,40.6,-75.6,42077.0
alpena,MI,alpena,2,45.2,-83.5,26007.0
alpharetta,GA,fulton,27,34.1,-84.3,13121.0
alpine,CA,san diego,1,32.8,-116.8,6073.0
alpine,TX,brewster,2,30.3,-103.6,48043.0
alstead,NH,cheshire,36,43.2,-72.3,33005.0
altamonte springs,FL,seminole,6,28.7,-81.4,12117.0
alton,NH,belknap,5,43.5,-71.2,33001.0
altura,MN,winona,12,44.2,-91.9,27169.0
alvin,TX,brazoria,1,29.4,-95.2,48039.0
amagansett,NY,suffolk,6,41.0,-72.1,36103.0
amarillo,TX,potter,208,35.2,-101.9,48375.0
amarillo,TX,randall,104,35.2,-101.9,48381.0
amber,OK,grady,4,35.1,-97.9,40051.0
ambler,PA,montgomery,10,40.2,-75.2,42091.0
amelia court house,VA,amelia,4,37.5,-77.9,51007.0
american fork,UT,utah,32,40.4,-111.8,49049.0
ames,IA,story,4,42.0,-93.6,19169.0
amesville,OH,athens,4,39.4,-82.0,39009.0
amherst,MA,hampshire,16,42.3,-72.5,25015.0
amherst,VA,amherst,28,37.6,-79.0,
amsterdam,NY,montgomery,4,42.9,-74.2,36057.0
anderson,IN,madison,84,40.1,-85.6,18095.0
anderson,TX,grimes,66,30.5,-96.0,48185.0
andes,NY,delaware,2,42.2,-74.8,36025.0
andover,MN,anoka,255,45.2,-93.3,27003.0
andover,NH,merrimack,1,43.5,-71.7,33013.0
andrews,NC,cherokee,2,35.2,-83.8,37039.0
angier,NC,harnett,7,35.5,-78.7,37085.0
ann arbor,MI,washtenaw,154,42.2,-83.7,26161.0
anna,TX,collin,8,33.3,-96.6,48085.0
annandale,VA,fairfax,8,38.8,-77.2,51059.0
annapolis,MD,anne arundel,1210,38.9,-76.5,24003.0
anson,TX,jones,6,32.8,-99.9,48253.0
ansonia,CT,new haven,15,41.3,-73.1,9009.0
antioch,IL,lake,354,42.5,-88.1,17097.0
apache junction,AZ,pinal,2,33.4,-111.5,4021.0
apalachicola,FL,franklin,22,29.8,-85.1,12037.0
apalachin,NY,tioga,2,42.1,-76.2,36107.0
apex,NC,wake,51,35.8,-78.9,37183.0
apollo,PA,westmoreland,2,40.6,-79.6,42129.0
appleton,WI,outagamie,55,44.3,-88.4,55087.0
appomattox,VA,appomattox,1,37.4,-78.8,51011.0
arabi,LA,st. bernard,1,30.0,-90.0,
arcade,NY,wyoming,3,42.5,-78.3,36121.0
ardmore,OK,carter,6,34.2,-97.1,40019.0
ardsley,NY,westchester,1,41.0,-73.8,36119.0
arlington,MA,middlesex,6,42.4,-71.2,25017.0
arlington,TX,tarrant,642,32.7,-97.2,48439.0
arlington,VA,arlington,255,38.9,-77.1,51013.0
arlington,WI,columbia,1,43.3,-89.4,55021.0
arlington heights,IL,cook,18,42.1,-88.0,17031.0
armuchee,GA,floyd,1,34.4,-85.2,13115.0
arnold,MD,anne arundel,2,39.0,-76.5,24003.0
arnold,MO,jefferson,2,38.4,-90.4,29099.0
arrington,VA,nelson,2,37.7,-78.9,51125.0
arvada,CO,jefferson,8,39.8,-105.2,8059.0
asbury park,NJ,monmouth,150,40.2,-74.0,34025.0
ashburn,VA,loudoun,42,39.1,-77.5,51107.0
ashdown,AR,little river,2,33.7,-94.1,5081.0
asheville,NC,buncombe,477,35.6,-82.6,37021.0
ashland,MA,middlesex,1,42.3,-71.4,25017.0
ashland,OR,jackson,4,42.2,-122.7,41029.0
ashland city,TN,cheatham,1,36.2,-87.0,47021.0
ashton,MD,montgomery,1,39.2,-77.0,24031.0
aspermont,TX,stonewall,124,33.1,-100.2,48433.0
aston,PA,delaware,8,39.9,-75.4,42045.0
atchison,KS,atchison,16,39.6,-95.1,20005.0
athens,GA,clarke,147,34.0,-83.4,13059.0
athens,OH,athens,3,39.3,-82.0,39009.0
atlanta,GA,cobb,344,33.8,-84.4,13067.0
atlanta,GA,dekalb,731,33.8,-84.4,13089.0
atlanta,GA,fulton,1247,33.8,-84.4,13121.0
atlanta,TX,cass,4,33.1,-94.2,48067.0
atlantic city,NJ,atlantic,2,39.4,-74.4,34001.0
aubrey,TX,denton,24,33.3,-97.0,48121.0
auburn,KS,shawnee,3,38.9,-95.8,20177.0
auburn,MA,worcester,5,42.2,-71.8,25027.0
auburn,NH,rockingham,2,43.0,-71.3,33015.0
auburn,NY,cayuga,105,42.9,-76.5,36011.0
auburndale,MA,middlesex,2,42.3,-71.2,25017.0
augusta,GA,columbia,26,33.5,-82.1,13073.0
augusta,GA,richmond,52,33.5,-82.1,13245.0
augusta,ME,kennebec,12,44.3,-69.8,23011.0
aurora,CO,adams,250,39.6,-104.8,8001.0
aurora,CO,arapahoe,200,39.6,-104.8,8005.0
aurora,IL,dupage,6,41.8,-88.2,17043.0
aurora,IL,kane,8,41.8,-88.2,17089.0
aurora,IL,will,2,41.8,-88.2,17197.0
aurora,MN,st. louis,12,47.4,-92.2,27137.0
aurora,OH,portage,2,41.3,-81.4,39133.0
austin,TX,hays,550,30.3,-97.7,48209.0
austin,TX,travis,23650,30.3,-97.7,48453.0
austin,TX,williamson,1650,30.3,-97.7,48491.0
avalon,NJ,cape may,2,39.1,-74.7,34009.0
avon lake,OH,lorain,5,41.5,-82.0,39093.0
avondale,AZ,maricopa,2,33.4,-112.3,4013.0
azle,TX,parker,3,32.9,-97.5,48367.0
azle,TX,tarrant,9,32.9,-97.5,48439.0
azusa,CA,los angeles,2,34.1,-117.9,6037.0
babylon,NY,suffolk,288,40.6,-73.2,36103.0
bad axe,MI,huron,5,43.8,-82.9,26063.0
bagley,IA,guthrie,2,41.9,-94.4,19077.0
baileys harbor,WI,door,10,45.0,-87.1,55029.0
baker,WV,hardy,1,39.1,-78.8,54031.0
bakersville,NC,mitchell,1,36.0,-82.2,37121.0
bala cynwyd,PA,montgomery,12,40.0,-75.2,42091.0
baldwin,GA,banks,1,34.5,-83.5,13011.0
ballinger,TX,runnels,112,31.7,-99.9,48399.0
ballston lake,NY,saratoga,20,43.0,-73.9,36091.0
ballston spa,NY,saratoga,24,43.0,-73.8,36091.0
ballwin,MO,st. louis,196,38.6,-90.5,29189.0
bally,PA,berks,4,40.4,-75.6,42011.0
baltimore,MD,anne arundel,40,39.3,-76.6,24003.0
baltimore,MD,baltimore,60,39.3,-76.6,24005.0
baltimore,MD,baltimore city,760,39.3,-76.6,24510.0
baltimore,OH,fairfield,14,39.8,-82.6,39045.0
bangor,ME,penobscot,12,44.8,-68.8,23019.0
banning,CA,riverside,1,33.9,-116.9,6065.0
bar harbor,ME,hancock,1,44.3,-68.2,23009.0
baraboo,WI,sauk,10,43.6,-89.7,55111.0
barco,NC,currituck,2,36.4,-76.0,37053.0
barker,NY,niagara,1,43.4,-78.6,36063.0
barling,AR,sebastian,3,35.3,-94.3,5131.0
barnardsville,NC,buncombe,2,35.8,-82.4,37021.0
barnegat light,NJ,ocean,27,39.8,-74.1,34029.0
barnesville,MN,clay,172,46.7,-96.4,27027.0
barnhart,MO,jefferson,1,38.3,-90.4,29099.0
barnsdall,OK,osage,12,36.5,-96.1,40113.0
barnstable,MA,barnstable,2,41.7,-70.3,25001.0
barrington,IL,lake,80,42.2,-88.2,17097.0
barrington,RI,bristol,3,41.7,-71.3,44001.0
bartlesville,OK,washington,264,36.7,-95.9,40147.0
bartlett,IL,dupage,21,42.0,-88.2,17043.0
basking ridge,NJ,somerset,1,40.7,-74.6,34035.0
